STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER
ABAB,ABB-120,1371.6,,,96.042,1.092,0.3107,2.405,GUF
ABAB,ABB-120,1371.7524,,-13.632,96.042,1.096,0.3107,2.405,GUF
ABAB,ABB-120,1371.9048,,-12.441,96.042,1.1,0.3107,2.405,GUF
ABAB,ABB-120,1372.0572,,-11.25,96.042,1.104,0.3107,2.405,GUF
ABAB,ABB-120,1372.2096,,-10.301,96.042,1.115,0.3107,2.405,GUF
ABAB,ABB-120,1372.362,,-9.353,96.042,1.126,0.3107,2.405,GUF
ABAB,ABB-120,1372.5144,,-8.405,96.042,1.144,0.3107,2.405,GUF
ABAB,ABB-120,1372.6668,,-8.949,96.042,1.162,0.3107,2.405,GUF
ABAB,ABB-120,1372.8192,,-9.493,96.042,1.181,0.3107,2.405,GUF
ABAB,ABB-120,1372.9716,,-10.038,96.042,1.227,0.3107,2.405,GUF
ABAB,ABB-120,1373.124,,-10.252,96.042,1.275,0.3107,2.405,GUF
ABAB,ABB-120,1373.2764,,-10.467,96.042,1.355,0.3107,2.405,GUF
ABAB,ABB-120,1373.4288,,-10.681,96.042,1.401,0.3107,2.405,GUF
ABAB,ABB-120,1373.5812,,-10.338,96.042,1.448,0.3107,2.405,GUF
ABAB,ABB-120,1373.7336,,-9.994,96.042,1.444,0.3107,2.405,GUF
ABAB,ABB-120,1373.886,,-9.651,96.042,1.441,0.3107,2.405,GUF
ABAB,ABB-120,1374.0384,,-9.931,96.042,1.459,0.3107,2.405,GUF
ABAB,ABB-120,1374.1908,,-10.212,96.042,1.477,0.3107,2.405,GUF
ABAB,ABB-120,1374.3432,,-10.492,96.042,1.496,0.3107,2.405,GUF
ABAB,ABB-120,1374.4956,,-10.773,96.042,1.542,0.3107,2.405,GUF
ABAB,ABB-120,1374.648,,-11.053,96.042,1.589,0.3107,2.405,GUF
ABAB,ABB-120,1374.8004,,-10.866,96.042,1.597,0.3107,2.405,GUF
ABAB,ABB-120,1374.9528,,-10.679,96.042,1.605,0.3107,2.405,GUF
ABAB,ABB-120,1375.1052,,-10.492,96.042,1.613,0.3107,2.405,GUF
ABAB,ABB-120,1375.2576,,-10.305,96.042,1.621,0.3107,2.405,GUF
ABAB,ABB-120,1375.41,,-10.117,96.042,1.584,0.3107,2.405,GUF
ABAB,ABB-120,1375.5624,,-9.93,96.042,1.547,0.3107,2.405,GUF
ABAB,ABB-120,1375.7148,,-8.867,96.042,1.511,0.3107,2.405,GUF
ABAB,ABB-120,1375.8672,,-7.804,96.042,1.477,0.3107,2.405,GUF
ABAB,ABB-120,1376.0196,,-6.741,96.042,1.443,0.3107,2.405,GUF
ABAB,ABB-120,1376.172,,-5.678,96.042,1.41,0.3107,2.405,GUF
ABAB,ABB-120,1376.3244,,-5.253,96.042,1.378,0.3107,2.405,GUF
ABAB,ABB-120,1376.4768,,-4.828,96.042,1.364,0.3107,2.405,GUF
ABAB,ABB-120,1376.6292,,-4.403,96.042,1.35,0.3107,2.405,GUF
ABAB,ABB-120,1376.7816,,-3.978,96.042,1.355,0.3107,2.405,GUF
ABAB,ABB-120,1376.934,,-4.206,96.042,1.359,0.3107,2.405,GUF
ABAB,ABB-120,1377.0864,,-4.433,96.042,1.364,0.3107,2.405,GUF
ABAB,ABB-120,1377.2388,,-4.661,96.042,1.368,0.3107,2.405,GUF
ABAB,ABB-120,1377.3912,,-4.889,96.042,1.373,0.3107,2.405,GUF
ABAB,ABB-120,1377.5436,,-5.022,96.042,1.377,0.3107,2.405,GUF
ABAB,ABB-120,1377.696,,-5.156,96.042,1.381,0.3107,2.405,GUF
ABAB,ABB-120,1377.8484,,-5.29,96.042,1.387,0.3107,2.405,GUF
ABAB,ABB-120,1378.0008,,-5.424,96.042,1.393,0.3107,2.405,GUF
ABAB,ABB-120,1378.1532,,-5.558,96.042,1.399,0.3107,2.405,GUF
ABAB,ABB-120,1378.3056,,-5.936,96.042,1.406,0.3107,2.405,GUF
ABAB,ABB-120,1378.458,,-6.314,96.042,1.414,0.3107,2.405,GUF
ABAB,ABB-120,1378.6104,,-6.692,96.042,1.422,0.3107,2.405,GUF
ABAB,ABB-120,1378.7628,,-7.07,96.042,1.416,0.3107,2.405,GUF
ABAB,ABB-120,1378.9152,,-7.449,96.042,1.411,0.3107,2.405,GUF
ABAB,ABB-120,1379.0676,,-7.827,96.042,1.406,0.3107,2.405,GUF
ABAB,ABB-120,1379.22,,-7.862,96.042,1.395,0.3107,2.405,GUF
ABAB,ABB-120,1379.3724,,-7.897,96.042,1.385,0.3107,2.405,GUF
ABAB,ABB-120,1379.5248,,-7.932,96.042,1.375,0.3107,2.405,GUF
ABAB,ABB-120,1379.6772,,-7.967,96.042,1.368,0.3107,2.405,GUF
ABAB,ABB-120,1379.8296,,-8.002,96.042,1.36,0.3107,2.405,GUF
ABAB,ABB-120,1379.982,,-8.395,96.042,1.352,0.3107,2.405,GUF
ABAB,ABB-120,1380.1344,,-8.788,96.042,1.344,0.3107,2.405,GUF
ABAB,ABB-120,1380.2868,,-9.182,96.042,1.349,0.3107,2.405,GUF
ABAB,ABB-120,1380.4392,,-9.575,96.042,1.353,0.3107,2.405,GUF
ABAB,ABB-120,1380.5916,,-9.968,96.042,1.375,0.3107,2.405,GUF
ABAB,ABB-120,1380.744,,-10.659,96.042,1.398,0.3107,2.405,GUF
ABAB,ABB-120,1380.8964,,-11.349,96.042,1.42,0.3107,2.405,GUF
ABAB,ABB-120,1381.0488,,-12.039,96.042,1.45,0.3107,2.405,GUF
ABAB,ABB-120,1381.2012,,-12.73,96.042,1.48,0.3107,2.405,GUF
ABAB,ABB-120,1381.3536,,-12.695,96.042,1.511,0.3107,2.405,GUF
ABAB,ABB-120,1381.506,,-12.66,96.042,1.542,0.3107,2.405,GUF
ABAB,ABB-120,1381.6584,,-11.547,96.042,1.57,0.3107,2.405,GUF
ABAB,ABB-120,1381.8108,,-10.433,96.042,1.598,0.3107,2.405,GUF
ABAB,ABB-120,1381.9632,,-9.32,96.042,1.626,0.3107,2.405,GUF
ABAB,ABB-120,1382.1156,,-8.27,96.042,1.623,0.3107,2.405,GUF
ABAB,ABB-120,1382.268,,-7.22,96.042,1.619,0.3107,2.405,GUF
ABAB,ABB-120,1382.4204,,-8.474,96.042,1.616,0.3107,2.405,GUF
ABAB,ABB-120,1382.5728,,-9.728,96.042,1.575,0.3107,2.405,GUF
ABAB,ABB-120,1382.7252,,-11.273,96.042,1.52,0.3107,2.405,GUF
ABAB,ABB-120,1382.8776,,-12.818,96.042,1.466,0.3107,2.405,GUF
ABAB,ABB-120,1383.03,,-14.362,96.042,1.44,0.3107,2.405,GUF
ABAB,ABB-120,1383.1824,,-13.748,96.042,1.414,0.3107,2.405,GUF
ABAB,ABB-120,1383.3348,,-13.134,96.042,1.389,0.3107,2.405,GUF
ABAB,ABB-120,1383.4872,,-12.52,96.042,1.365,0.3107,2.405,GUF
ABAB,ABB-120,1383.6396,,-11.898,96.042,1.341,0.3107,2.405,GUF
ABAB,ABB-120,1383.792,,-11.276,96.042,1.336,0.3107,2.405,GUF
ABAB,ABB-120,1383.9444,,-10.655,96.042,1.33,0.3107,2.405,GUF
ABAB,ABB-120,1384.0968,,-10.912,96.042,1.325,0.3107,2.405,GUF
ABAB,ABB-120,1384.2492,,-11.169,96.042,1.335,0.3107,2.405,GUF
ABAB,ABB-120,1384.4016,,-11.426,96.042,1.344,0.3107,2.405,GUF
ABAB,ABB-120,1384.554,,-11.141,96.042,1.354,0.3107,2.405,GUF
ABAB,ABB-120,1384.7064,,-10.857,96.042,1.368,0.3107,2.405,GUF
ABAB,ABB-120,1384.8588,,-10.572,96.042,1.382,0.3107,2.405,GUF
ABAB,ABB-120,1385.0112,,-10.287,96.042,1.397,0.3107,2.405,GUF
ABAB,ABB-120,1385.1636,,-10.332,96.042,1.423,0.3107,2.405,GUF
ABAB,ABB-120,1385.316,,-10.376,96.042,1.45,0.3107,2.405,GUF
ABAB,ABB-120,1385.4684,,-10.421,96.042,1.477,0.3107,2.405,GUF
ABAB,ABB-120,1385.6208,,-10.365,96.042,1.532,0.3107,2.405,GUF
ABAB,ABB-120,1385.7732,,-10.309,96.042,1.608,0.3107,2.405,GUF
ABAB,ABB-120,1385.9256,,-10.253,96.042,1.678,0.3107,2.405,GUF
ABAB,ABB-120,1386.078,,-10.196,96.042,1.695,0.3107,2.405,GUF
ABAB,ABB-120,1386.2304,,-8.637,96.042,1.713,0.3107,2.405,GUF
ABAB,ABB-120,1386.3828,,-7.077,96.042,1.707,0.3107,2.405,GUF
