STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_NORM,RGSA_x,RGSA_GAS_EFFECT,NGSA_x,NGSA_GAS_EFFECT,DGSA_x,DGSA_GAS_EFFECT,DENS_DIFF,RGSA_ANOM,NGSA_ANOM,DGSA_ANOM,SCORE,ZONA,RGSA_y,NGSA_y,DGSA_y
ABAB,ABB-041,1375.5624,,-36.3768,44.776,1.448,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0427432138625126,0.3732,2.0999999999999996
ABAB,ABB-041,1375.7148,,-36.5859,44.776,1.461,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0427432138625126,0.3732,2.0999999999999996
ABAB,ABB-041,1375.8672,,-36.795,44.776,1.464,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0427432138625126,0.3732,2.0999999999999996
ABAB,ABB-041,1376.0196,,-37.0041,44.776,1.468,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0427432138625126,0.3732,2.0999999999999996
ABAB,ABB-041,1376.172,,-37.2391,44.776,1.472,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0427432138625126,0.3732,2.0999999999999996
ABAB,ABB-041,1376.3244,,-37.4742,44.776,1.475,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0427432138625126,0.3732,2.0999999999999996
ABAB,ABB-041,1376.4768,,-37.7093,44.776,1.468,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0427432138625126,0.3732,2.0999999999999996
ABAB,ABB-041,1376.6292,,-37.9444,44.776,1.461,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0427432138625126,0.3732,2.0999999999999996
ABAB,ABB-041,1376.7816,,-38.1794,44.776,1.454,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0427432138625126,0.3732,2.0999999999999996
ABAB,ABB-041,1376.934,,-38.4145,44.776,1.446,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0427432138625126,0.3732,2.0999999999999996
ABAB,ABB-041,1377.0864,,-38.4576,44.776,1.418,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0427432138625126,0.3732,2.0999999999999996
ABAB,ABB-041,1377.2388,,-38.5017,44.776,1.389,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0427432138625126,0.3732,2.0999999999999996
ABAB,ABB-041,1377.3912,,-38.5457,44.776,1.361,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0427432138625126,0.3732,2.0999999999999996
ABAB,ABB-041,1377.5436,,-38.5898,44.776,1.332,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0427432138625126,0.3732,2.0999999999999996
ABAB,ABB-041,1377.696,,-38.2829,44.776,1.304,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0427432138625126,0.3732,2.0999999999999996
ABAB,ABB-041,1377.8484,,-37.976,44.776,1.275,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0427432138625126,0.3732,2.0999999999999996
ABAB,ABB-041,1378.0008,,-37.669,44.776,1.212,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0427432138625126,0.3732,2.0999999999999996
ABAB,ABB-041,1378.1532,,-37.3621,44.776,1.149,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0427432138625126,0.3732,2.0999999999999996
ABAB,ABB-041,1378.3056,,-37.0552,44.776,1.085,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0427432138625126,0.3732,2.0999999999999996
ABAB,ABB-041,1378.458,,-36.9363,44.776,1.022,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0427432138625126,0.3732,2.0999999999999996
ABAB,ABB-041,1378.6104,,-36.8173,44.776,0.947,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0427432138625126,0.3732,2.0999999999999996
ABAB,ABB-041,1378.7628,,-36.6974,44.776,0.873,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0427432138625126,0.3732,2.0999999999999996
ABAB,ABB-041,1378.9152,,-36.5785,44.776,0.799,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0427432138625126,0.3732,2.0999999999999996
ABAB,ABB-041,1379.0676,,-36.8115,44.776,0.724,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0427432138625126,0.3732,2.0999999999999996
ABAB,ABB-041,1379.22,,-37.0446,44.776,0.677,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0427432138625126,0.3732,2.0999999999999996
ABAB,ABB-041,1379.3724,,-37.2777,44.776,0.629,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0427432138625126,0.3732,2.0999999999999996
ABAB,ABB-041,1379.5248,,-37.5108,44.776,0.582,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0427432138625126,0.3732,2.0999999999999996
ABAB,ABB-041,1379.6772,,-37.5188,44.776,0.534,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0412319777421108,0.3732,2.0999999999999996
ABAB,ABB-041,1379.8296,,-37.5259,44.776,0.486,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0382160729800578,0.3732,2.0999999999999996
ABAB,ABB-041,1379.982,,-37.534,44.776,0.439,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0352089037176129,0.3732,2.0999999999999996
ABAB,ABB-041,1380.1344,,-37.5411,44.776,0.435,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0322104446526001,0.3732,2.0999999999999996
ABAB,ABB-041,1380.2868,,-37.5491,44.776,0.432,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0292206705561264,0.3732,2.0999999999999996
ABAB,ABB-041,1380.4392,,-37.5562,44.776,0.428,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0262395562723865,0.3732,2.0999999999999996
ABAB,ABB-041,1380.5916,,-37.5643,44.776,0.424,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.023267076718425,0.3732,2.0999999999999996
ABAB,ABB-041,1380.744,,-37.5714,44.776,0.421,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0203032068839435,0.3732,2.0999999999999996
ABAB,ABB-041,1380.8964,,-37.5794,44.776,0.417,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0173479218310808,0.3732,2.0999999999999996
ABAB,ABB-041,1381.0488,,-37.5865,44.776,0.426,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0144011966942206,0.3732,2.0999999999999996
ABAB,ABB-041,1381.2012,,-37.5936,44.776,0.435,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0114630066797565,0.3732,2.0999999999999996
ABAB,ABB-041,1381.3536,,-37.6017,44.776,0.445,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,1.0085333270659005,0.3732,2.0999999999999996
