STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER
ABAB,ABB-121,1372.0572,,-5.43,46.8,1.116,0.274,2.405,GUF
ABAB,ABB-121,1372.2096,,-5.717,46.8,1.116,0.274,2.405,GUF
ABAB,ABB-121,1372.362,,-6.003,46.8,1.116,0.274,2.405,GUF
ABAB,ABB-121,1372.5144,,-6.289,46.8,1.115,0.274,2.405,GUF
ABAB,ABB-121,1372.6668,,-6.575,46.8,1.115,0.274,2.405,GUF
ABAB,ABB-121,1372.8192,,-7.543,46.8,1.102,0.274,2.405,GUF
ABAB,ABB-121,1372.9716,,-8.511,46.8,1.088,0.274,2.405,GUF
ABAB,ABB-121,1373.124,,-9.822,46.8,1.075,0.274,2.405,GUF
ABAB,ABB-121,1373.2764,,-11.133,46.8,1.062,0.274,2.405,GUF
ABAB,ABB-121,1373.4288,,-11.559,46.8,1.054,0.274,2.405,GUF
ABAB,ABB-121,1373.5812,,-11.986,46.8,1.046,0.274,2.405,GUF
ABAB,ABB-121,1373.7336,,-12.412,46.8,1.038,0.274,2.405,GUF
ABAB,ABB-121,1373.886,,-11.774,46.8,1.032,0.274,2.405,GUF
ABAB,ABB-121,1374.0384,,-11.136,46.8,1.027,0.274,2.405,GUF
ABAB,ABB-121,1374.1908,,-10.498,46.8,1.021,0.274,2.405,GUF
ABAB,ABB-121,1374.3432,,-10.002,46.8,1.016,0.274,2.405,GUF
ABAB,ABB-121,1374.4956,,-9.507,46.8,1.01,0.274,2.405,GUF
ABAB,ABB-121,1374.648,,-9.012,46.8,1.014,0.274,2.405,GUF
ABAB,ABB-121,1374.8004,,-8.736,46.8,1.017,0.274,2.405,GUF
ABAB,ABB-121,1374.9528,,-8.46,46.8,1.021,0.274,2.405,GUF
ABAB,ABB-121,1375.1052,,-8.184,46.8,1.039,0.274,2.405,GUF
ABAB,ABB-121,1375.2576,,-7.909,46.8,1.057,0.274,2.405,GUF
ABAB,ABB-121,1375.41,,-7.881,46.8,1.075,0.274,2.405,GUF
ABAB,ABB-121,1375.5624,,-7.854,46.8,1.11,0.274,2.405,GUF
ABAB,ABB-121,1375.7148,,-7.826,46.8,1.146,0.274,2.405,GUF
ABAB,ABB-121,1375.8672,,-7.799,46.8,1.152,0.274,2.405,GUF
ABAB,ABB-121,1376.0196,,-7.716,46.8,1.158,0.274,2.405,GUF
ABAB,ABB-121,1376.172,,-7.634,46.8,1.164,0.274,2.405,GUF
ABAB,ABB-121,1376.3244,,-7.551,46.8,1.166,0.274,2.405,GUF
ABAB,ABB-121,1376.4768,,-7.469,46.8,1.168,0.274,2.405,GUF
ABAB,ABB-121,1376.6292,,-7.386,46.8,1.154,0.274,2.405,GUF
ABAB,ABB-121,1376.7816,,-7.304,46.8,1.14,0.274,2.405,GUF
ABAB,ABB-121,1376.934,,-7.243,46.8,1.128,0.274,2.405,GUF
ABAB,ABB-121,1377.0864,,-7.183,46.8,1.116,0.274,2.405,GUF
ABAB,ABB-121,1377.2388,,-7.122,46.8,1.104,0.274,2.405,GUF
ABAB,ABB-121,1377.3912,,-7.062,46.8,1.112,0.274,2.405,GUF
ABAB,ABB-121,1377.5436,,-7.001,46.8,1.12,0.274,2.405,GUF
ABAB,ABB-121,1377.696,,-7.091,46.8,1.129,0.274,2.405,GUF
ABAB,ABB-121,1377.8484,,-7.181,46.8,1.167,0.274,2.405,GUF
ABAB,ABB-121,1378.0008,,-7.27,46.8,1.206,0.274,2.405,GUF
ABAB,ABB-121,1378.1532,,-7.36,46.8,1.275,0.274,2.405,GUF
ABAB,ABB-121,1378.3056,,-8.935,46.8,1.349,0.274,2.405,GUF
ABAB,ABB-121,1378.458,,-10.509,46.8,1.426,0.274,2.405,GUF
ABAB,ABB-121,1378.6104,,-12.237,46.8,1.487,0.274,2.405,GUF
ABAB,ABB-121,1378.7628,,-13.966,46.8,1.524,0.274,2.405,GUF
ABAB,ABB-121,1378.9152,,-14.504,46.8,1.538,0.274,2.405,GUF
ABAB,ABB-121,1379.0676,,-15.042,46.8,1.554,0.274,2.405,GUF
ABAB,ABB-121,1379.22,,-15.579,46.8,1.536,0.274,2.405,GUF
ABAB,ABB-121,1379.3724,,-14.924,46.8,1.486,0.274,2.405,GUF
ABAB,ABB-121,1379.5248,,-14.269,46.8,1.438,0.274,2.405,GUF
ABAB,ABB-121,1379.6772,,-13.355,46.8,1.385,0.274,2.405,GUF
ABAB,ABB-121,1379.8296,,-12.441,46.8,1.333,0.274,2.405,GUF
ABAB,ABB-121,1379.982,,-11.527,46.8,1.283,0.274,2.405,GUF
ABAB,ABB-121,1380.1344,,-10.907,46.8,1.255,0.274,2.405,GUF
ABAB,ABB-121,1380.2868,,-10.288,46.8,1.227,0.274,2.405,GUF
ABAB,ABB-121,1380.4392,,-9.669,46.8,1.213,0.274,2.405,GUF
ABAB,ABB-121,1380.5916,,-9.05,46.8,1.2,0.274,2.405,GUF
ABAB,ABB-121,1380.744,,-8.43,46.8,1.187,0.274,2.405,GUF
ABAB,ABB-121,1380.8964,,-7.811,46.8,1.174,0.274,2.405,GUF
ABAB,ABB-121,1381.0488,,-7.526,46.8,1.159,0.274,2.405,GUF
ABAB,ABB-121,1381.2012,,-7.24,46.8,1.145,0.274,2.405,GUF
ABAB,ABB-121,1381.3536,,-6.955,46.8,1.131,0.274,2.405,GUF
ABAB,ABB-121,1381.506,,-6.67,46.8,1.117,0.274,2.405,GUF
ABAB,ABB-121,1381.6584,,-6.384,46.8,1.108,0.274,2.405,GUF
ABAB,ABB-121,1381.8108,,-6.099,46.8,1.099,0.274,2.405,GUF
ABAB,ABB-121,1381.9632,,-5.813,46.8,1.091,0.274,2.405,GUF
ABAB,ABB-121,1382.1156,,-5.753,46.8,1.082,0.274,2.405,GUF
ABAB,ABB-121,1382.268,,-5.693,46.8,1.073,0.274,2.405,GUF
ABAB,ABB-121,1382.4204,,-5.633,46.8,1.069,0.274,2.405,GUF
ABAB,ABB-121,1382.5728,,-5.573,46.8,1.065,0.274,2.405,GUF
ABAB,ABB-121,1382.7252,,-5.513,46.8,1.061,0.274,2.405,GUF
ABAB,ABB-121,1382.8776,,-5.453,46.8,1.057,0.274,2.405,GUF
ABAB,ABB-121,1383.03,,-5.605,46.8,1.057,0.274,2.405,GUF
ABAB,ABB-121,1383.1824,,-5.756,46.8,1.057,0.274,2.405,GUF
ABAB,ABB-121,1383.3348,,-5.908,46.8,1.057,0.274,2.405,GUF
ABAB,ABB-121,1383.4872,,-6.059,46.8,1.065,0.274,2.405,GUF
ABAB,ABB-121,1383.6396,,-6.211,46.8,1.072,0.274,2.405,GUF
ABAB,ABB-121,1383.792,,-6.781,46.8,1.08,0.274,2.405,GUF
ABAB,ABB-121,1383.9444,,-7.351,46.8,1.088,0.274,2.405,GUF
ABAB,ABB-121,1384.0968,,-7.921,46.8,1.119,0.274,2.405,GUF
ABAB,ABB-121,1384.2492,,-8.492,46.8,1.15,0.274,2.405,GUF
ABAB,ABB-121,1384.4016,,-8.593,46.8,1.183,0.274,2.405,GUF
ABAB,ABB-121,1384.554,,-8.695,46.8,1.216,0.274,2.405,GUF
ABAB,ABB-121,1384.7064,,-8.796,46.8,1.257,0.274,2.405,GUF
ABAB,ABB-121,1384.8588,,-8.117,46.8,1.3,0.274,2.405,GUF
ABAB,ABB-121,1385.0112,,-7.439,46.8,1.343,0.274,2.405,GUF
ABAB,ABB-121,1385.1636,,-6.76,46.8,1.407,0.274,2.405,GUF
ABAB,ABB-121,1385.316,,-6.534,46.8,1.473,0.274,2.405,GUF
ABAB,ABB-121,1385.4684,,-6.308,46.8,1.509,0.274,2.405,GUF
ABAB,ABB-121,1385.6208,,-6.082,46.8,1.545,0.274,2.405,GUF
ABAB,ABB-121,1385.7732,,-5.856,46.8,1.542,0.274,2.405,GUF
ABAB,ABB-121,1385.9256,,-7.276,46.8,1.539,0.274,2.405,GUF
ABAB,ABB-121,1386.078,,-8.696,46.8,1.536,0.274,2.405,GUF
ABAB,ABB-121,1386.2304,,-10.116,46.8,1.436,0.274,2.405,GUF
ABAB,ABB-121,1386.3828,,-11.579,46.8,1.342,0.274,2.405,GUF
ABAB,ABB-121,1386.5352,,-13.043,46.8,1.25,0.274,2.405,GUF
ABAB,ABB-121,1386.6876,,-12.457,46.8,1.163,0.274,2.405,GUF
ABAB,ABB-121,1386.84,,-11.872,46.8,1.125,0.274,2.405,GUF
ABAB,ABB-121,1386.9924,,-11.287,46.8,1.087,0.274,2.405,GUF
ABAB,ABB-121,1387.1448,,-10.293,46.8,1.051,0.274,2.405,GUF
ABAB,ABB-121,1387.2972,,-9.298,46.8,1.045,0.274,2.405,GUF
ABAB,ABB-121,1387.4496,,-8.304,46.8,1.039,0.274,2.405,GUF
ABAB,ABB-121,1387.602,,-7.31,46.8,1.038,0.274,2.405,GUF
ABAB,ABB-121,1387.7544,,-7.227,46.8,1.036,0.274,2.405,GUF
ABAB,ABB-121,1387.9068,,-7.144,46.8,1.035,0.274,2.405,GUF
ABAB,ABB-121,1388.0592,,-7.061,46.8,1.034,0.274,2.405,GUF
ABAB,ABB-121,1388.2116,,-6.923,46.8,1.029,0.274,2.405,GUF
ABAB,ABB-121,1388.364,,-6.785,46.8,1.025,0.274,2.405,GUF
ABAB,ABB-121,1388.5164,,-6.647,46.8,1.02,0.274,2.405,GUF
ABAB,ABB-121,1388.6688,,-6.509,46.8,1.016,0.274,2.405,GUF
ABAB,ABB-121,1388.8212,,-6.371,46.8,1.004,0.274,2.405,GUF
ABAB,ABB-121,1388.9736,,-6.134,46.8,0.991,0.274,2.405,GUF
ABAB,ABB-121,1389.126,,-5.897,46.8,0.979,0.274,2.405,GUF
ABAB,ABB-121,1389.2784,,-5.66,46.8,0.962,0.274,2.405,GUF
