STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER
ABAB,ABB-119,1371.6,,-6.1302,68.218,1.153,0.3724,2.376,GUF
ABAB,ABB-119,1371.7524,,-5.3322,68.218,1.111,0.3724,2.376,GUF
ABAB,ABB-119,1371.9048,,-4.5342,68.218,1.071,0.3724,2.376,GUF
ABAB,ABB-119,1372.0572,,-3.7362,68.218,1.049,0.3724,2.376,GUF
ABAB,ABB-119,1372.2096,,-2.9382,68.218,1.027,0.3724,2.376,GUF
ABAB,ABB-119,1372.362,,-2.774,68.218,1.006,0.3724,2.376,GUF
ABAB,ABB-119,1372.5144,,-2.609,68.218,0.985,0.3724,2.376,GUF
ABAB,ABB-119,1372.6668,,-2.445,68.218,0.988,0.3724,2.376,GUF
ABAB,ABB-119,1372.8192,,-2.28,68.218,0.991,0.3724,2.376,GUF
ABAB,ABB-119,1372.9716,,-2.116,68.218,0.994,0.3724,2.376,GUF
ABAB,ABB-119,1373.124,,-1.99,68.218,0.996,0.3724,2.376,GUF
ABAB,ABB-119,1373.2764,,-1.864,68.218,0.999,0.3724,2.376,GUF
ABAB,ABB-119,1373.4288,,-1.739,68.218,1.001,0.3724,2.376,GUF
ABAB,ABB-119,1373.5812,,-1.613,68.218,1.003,0.3724,2.376,GUF
ABAB,ABB-119,1373.7336,,-1.487,68.218,0.998,0.3724,2.376,GUF
ABAB,ABB-119,1373.886,,-1.362,68.218,0.993,0.3724,2.376,GUF
ABAB,ABB-119,1374.0384,,-1.236,68.218,0.988,0.3724,2.376,GUF
ABAB,ABB-119,1374.1908,,-1.098,68.218,0.983,0.3724,2.376,GUF
ABAB,ABB-119,1374.3432,,-0.959,68.218,0.982,0.3724,2.376,GUF
ABAB,ABB-119,1374.4956,,-0.821,68.218,0.982,0.3724,2.376,GUF
ABAB,ABB-119,1374.648,,-0.683,68.218,0.982,0.3724,2.376,GUF
ABAB,ABB-119,1374.8004,,-0.545,68.218,0.981,0.3724,2.376,GUF
ABAB,ABB-119,1374.9528,,-0.406,68.218,0.984,0.3724,2.376,GUF
ABAB,ABB-119,1375.1052,,-0.29,68.218,0.986,0.3724,2.376,GUF
ABAB,ABB-119,1375.2576,,-0.175,68.218,0.988,0.3724,2.376,GUF
ABAB,ABB-119,1375.41,,-0.059,68.218,0.99,0.3724,2.376,GUF
ABAB,ABB-119,1375.5624,,0.057,68.218,1.003,0.3724,2.376,GUF
ABAB,ABB-119,1375.7148,,0.173,68.218,1.016,0.3724,2.376,GUF
ABAB,ABB-119,1375.8672,,0.288,68.218,1.029,0.3724,2.376,GUF
ABAB,ABB-119,1376.0196,,0.172,68.218,1.042,0.3724,2.376,GUF
ABAB,ABB-119,1376.172,,0.056,68.218,1.07,0.3724,2.376,GUF
ABAB,ABB-119,1376.3244,,-0.061,68.218,1.098,0.3724,2.376,GUF
ABAB,ABB-119,1376.4768,,-0.177,68.218,1.127,0.3724,2.376,GUF
ABAB,ABB-119,1376.6292,,-0.293,68.218,1.157,0.3724,2.376,GUF
ABAB,ABB-119,1376.7816,,-0.41,68.218,1.206,0.3724,2.376,GUF
ABAB,ABB-119,1376.934,,-0.6069,68.218,1.257,0.3724,2.376,GUF
ABAB,ABB-119,1377.0864,,-0.8039,68.218,1.31,0.3724,2.376,GUF
ABAB,ABB-119,1377.2388,,-1.0009,68.218,1.365,0.3724,2.376,GUF
ABAB,ABB-119,1377.3912,,-1.1989,68.218,1.42,0.3724,2.376,GUF
ABAB,ABB-119,1377.5436,,-1.3959,68.218,1.477,0.3724,2.376,GUF
ABAB,ABB-119,1377.696,,-1.9019,68.218,1.537,0.3724,2.376,GUF
ABAB,ABB-119,1377.8484,,-2.4089,68.218,1.599,0.3724,2.376,GUF
ABAB,ABB-119,1378.0008,,-2.9149,68.218,1.621,0.3724,2.376,GUF
ABAB,ABB-119,1378.1532,,-3.4219,68.218,1.643,0.3724,2.376,GUF
ABAB,ABB-119,1378.3056,,-4.7306,68.218,1.59,0.3724,2.376,GUF
ABAB,ABB-119,1378.458,,-6.0396,68.218,1.539,0.3724,2.376,GUF
ABAB,ABB-119,1378.6104,,-7.3496,68.218,1.452,0.3724,2.376,GUF
ABAB,ABB-119,1378.7628,,-8.6586,68.218,1.37,0.3724,2.376,GUF
ABAB,ABB-119,1378.9152,,-8.8839,68.218,1.296,0.3724,2.376,GUF
ABAB,ABB-119,1379.0676,,-9.1079,68.218,1.225,0.3724,2.376,GUF
