STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER
ABAB,ABB-096,1373.124,,-12.092,63.623,1.552,0.2929,2.349,GUF
ABAB,ABB-096,1373.2764,,-12.3841,63.623,1.492,0.2929,2.349,GUF
ABAB,ABB-096,1373.4288,,-12.6751,63.623,1.433,0.2929,2.349,GUF
ABAB,ABB-096,1373.5812,,-12.9671,63.623,1.373,0.2929,2.349,GUF
ABAB,ABB-096,1373.7336,,-13.4911,63.623,1.314,0.2929,2.349,GUF
ABAB,ABB-096,1373.886,,-14.0141,63.623,1.293,0.2929,2.349,GUF
ABAB,ABB-096,1374.0384,,-14.5381,63.623,1.272,0.2929,2.349,GUF
ABAB,ABB-096,1374.1908,,-15.0621,63.623,1.252,0.2929,2.349,GUF
ABAB,ABB-096,1374.3432,,-15.0521,63.623,1.231,0.2929,2.349,GUF
ABAB,ABB-096,1374.4956,,-15.0431,63.623,1.21,0.2929,2.349,GUF
ABAB,ABB-096,1374.648,,-14.5272,63.623,1.189,0.2929,2.349,GUF
ABAB,ABB-096,1374.8004,,-14.0112,63.623,1.168,0.2929,2.349,GUF
ABAB,ABB-096,1374.9528,,-13.7032,63.623,1.17,0.2929,2.349,GUF
ABAB,ABB-096,1375.1052,,-13.3952,63.623,1.173,0.2929,2.349,GUF
ABAB,ABB-096,1375.2576,,-13.0872,63.623,1.175,0.2929,2.349,GUF
ABAB,ABB-096,1375.41,,-12.7792,63.623,1.177,0.2929,2.349,GUF
ABAB,ABB-096,1375.5624,,-12.4722,63.623,1.179,0.2929,2.349,GUF
ABAB,ABB-096,1375.7148,,-12.3062,63.623,1.181,0.2929,2.349,GUF
ABAB,ABB-096,1375.8672,,-12.1413,63.623,1.184,0.2929,2.349,GUF
ABAB,ABB-096,1376.0196,,-11.9753,63.623,1.186,0.2929,2.349,GUF
ABAB,ABB-096,1376.172,,-11.5943,63.623,1.174,0.2929,2.349,GUF
ABAB,ABB-096,1376.3244,,-11.2123,63.623,1.162,0.2929,2.349,GUF
ABAB,ABB-096,1376.4768,,-10.8313,63.623,1.15,0.2929,2.349,GUF
ABAB,ABB-096,1376.6292,,-10.4493,63.623,1.138,0.2929,2.349,GUF
ABAB,ABB-096,1376.7816,,-10.1263,63.623,1.126,0.2929,2.349,GUF
ABAB,ABB-096,1376.934,,-9.8033,63.623,1.114,0.2929,2.349,GUF
ABAB,ABB-096,1377.0864,,-9.4804,63.623,1.102,0.2929,2.349,GUF
ABAB,ABB-096,1377.2388,,-9.1574,63.623,1.09,0.2929,2.349,GUF
ABAB,ABB-096,1377.3912,,-9.4224,63.623,1.083,0.2929,2.349,GUF
ABAB,ABB-096,1377.5436,,-9.6864,63.623,1.075,0.2929,2.349,GUF
ABAB,ABB-096,1377.696,,-9.9514,63.623,1.067,0.2929,2.349,GUF
ABAB,ABB-096,1377.8484,,-10.0084,63.623,1.059,0.2929,2.349,GUF
ABAB,ABB-096,1378.0008,,-10.0654,63.623,1.052,0.2929,2.349,GUF
ABAB,ABB-096,1378.1532,,-10.1224,63.623,1.044,0.2929,2.349,GUF
ABAB,ABB-096,1378.3056,,-10.1794,63.623,1.036,0.2929,2.349,GUF
ABAB,ABB-096,1378.458,,-10.2365,63.623,1.028,0.2929,2.349,GUF
ABAB,ABB-096,1378.6104,,-10.2925,63.623,1.021,0.2929,2.349,GUF
ABAB,ABB-096,1378.7628,,-10.1755,63.623,1.006,0.2929,2.349,GUF
ABAB,ABB-096,1378.9152,,-10.0575,63.623,0.991,0.2929,2.349,GUF
ABAB,ABB-096,1379.0676,,-9.6635,63.623,0.976,0.2929,2.349,GUF
ABAB,ABB-096,1379.22,,-9.2705,63.623,0.961,0.2929,2.349,GUF
ABAB,ABB-096,1379.3724,,-8.8765,63.623,0.947,0.2929,2.349,GUF
ABAB,ABB-096,1379.5248,,-8.4835,63.623,0.932,0.2929,2.349,GUF
ABAB,ABB-096,1379.6772,,-8.3166,63.623,0.917,0.2929,2.349,GUF
ABAB,ABB-096,1379.8296,,-8.1496,63.623,0.902,0.2929,2.349,GUF
ABAB,ABB-096,1379.982,,-7.9826,63.623,0.9,0.2929,2.349,GUF
ABAB,ABB-096,1380.1344,,-7.8156,63.623,0.898,0.2929,2.349,GUF
ABAB,ABB-096,1380.2868,,-8.2476,63.623,0.895,0.2929,2.349,GUF
ABAB,ABB-096,1380.4392,,-8.6786,63.623,0.893,0.2929,2.349,GUF
ABAB,ABB-096,1380.5916,,-9.1096,63.623,0.891,0.2929,2.349,GUF
ABAB,ABB-096,1380.744,,-9.2766,63.623,0.888,0.2929,2.349,GUF
ABAB,ABB-096,1380.8964,,-9.4426,63.623,0.92,0.2929,2.349,GUF
ABAB,ABB-096,1381.0488,,-9.2347,63.623,0.952,0.2929,2.349,GUF
ABAB,ABB-096,1381.2012,,-9.0267,63.623,0.984,0.2929,2.349,GUF
ABAB,ABB-096,1381.3536,,-8.8187,63.623,1.016,0.2929,2.349,GUF
ABAB,ABB-096,1381.506,,-8.6107,63.623,1.048,0.2929,2.349,GUF
ABAB,ABB-096,1381.6584,,-8.4027,63.623,1.08,0.2929,2.349,GUF
ABAB,ABB-096,1381.8108,,-8.3297,63.623,1.112,0.2929,2.349,GUF
ABAB,ABB-096,1381.9632,,-8.2557,63.623,1.288,0.2929,2.349,GUF
ABAB,ABB-096,1382.1156,,-8.1817,63.623,1.465,0.2929,2.349,GUF
ABAB,ABB-096,1382.268,,-8.1077,63.623,1.641,0.2929,2.349,GUF
ABAB,ABB-096,1382.4204,,-8.5268,63.623,1.659,0.2929,2.349,GUF
ABAB,ABB-096,1382.5728,,-8.9448,63.623,1.677,0.2929,2.349,GUF
ABAB,ABB-096,1382.7252,,-9.3638,63.623,1.695,0.2929,2.349,GUF
ABAB,ABB-096,1382.8776,,-9.7828,63.623,1.633,0.2929,2.349,GUF
ABAB,ABB-096,1383.03,,-11.1298,63.623,1.571,0.2929,2.349,GUF
ABAB,ABB-096,1383.1824,,-12.4778,63.623,1.51,0.2929,2.349,GUF
ABAB,ABB-096,1383.3348,,-12.8928,63.623,1.448,0.2929,2.349,GUF
ABAB,ABB-096,1383.4872,,-13.3088,63.623,1.451,0.2929,2.349,GUF
ABAB,ABB-096,1383.6396,,-13.7249,63.623,1.455,0.2929,2.349,GUF
ABAB,ABB-096,1383.792,,-14.1399,63.623,1.458,0.2929,2.349,GUF
ABAB,ABB-096,1383.9444,,-14.5559,63.623,1.461,0.2929,2.349,GUF
ABAB,ABB-096,1384.0968,,-14.8089,63.623,1.483,0.2929,2.349,GUF
ABAB,ABB-096,1384.2492,,-13.9329,63.623,1.505,0.2929,2.349,GUF
ABAB,ABB-096,1384.4016,,-13.3929,63.623,1.528,0.2929,2.349,GUF
ABAB,ABB-096,1384.554,,-12.8529,63.623,1.55,0.2929,2.349,GUF
ABAB,ABB-096,1384.7064,,-12.3139,63.623,1.556,0.2929,2.349,GUF
ABAB,ABB-096,1384.8588,,-11.7739,63.623,1.563,0.2929,2.349,GUF
ABAB,ABB-096,1385.0112,,-11.761,63.623,1.569,0.2929,2.349,GUF
ABAB,ABB-096,1385.1636,,-11.748,63.623,1.576,0.2929,2.349,GUF
ABAB,ABB-096,1385.316,,-12.366,63.623,1.582,0.2929,2.349,GUF
ABAB,ABB-096,1385.4684,,-12.983,63.623,1.589,0.2929,2.349,GUF
ABAB,ABB-096,1385.6208,,-13.601,63.623,1.548,0.2929,2.349,GUF
ABAB,ABB-096,1385.7732,,-13.545,63.623,1.506,0.2929,2.349,GUF
ABAB,ABB-096,1385.9256,,-13.488,63.623,1.464,0.2929,2.349,GUF
ABAB,ABB-096,1386.078,,-13.432,63.623,1.423,0.2929,2.349,GUF
ABAB,ABB-096,1386.2304,,-13.3751,63.623,1.382,0.2929,2.349,GUF
ABAB,ABB-096,1386.3828,,-12.8261,63.623,1.354,0.2929,2.349,GUF
ABAB,ABB-096,1386.5352,,-12.2761,63.623,1.326,0.2929,2.349,GUF
ABAB,ABB-096,1386.6876,,-11.7271,63.623,1.298,0.2929,2.349,GUF
ABAB,ABB-096,1386.84,,-11.1771,63.623,1.27,0.2929,2.349,GUF
ABAB,ABB-096,1386.9924,,-10.8201,63.623,1.242,0.2929,2.349,GUF
ABAB,ABB-096,1387.1448,,-10.4631,63.623,1.214,0.2929,2.349,GUF
ABAB,ABB-096,1387.2972,,-10.1071,63.623,1.186,0.2929,2.349,GUF
ABAB,ABB-096,1387.4496,,-9.7501,63.623,1.182,0.2929,2.349,GUF
ABAB,ABB-096,1387.602,,-9.3932,63.623,1.178,0.2929,2.349,GUF
ABAB,ABB-096,1387.7544,,-9.0362,63.623,1.173,0.2929,2.349,GUF
ABAB,ABB-096,1387.9068,,-9.1382,63.623,1.169,0.2929,2.349,GUF
ABAB,ABB-096,1388.0592,,-9.2402,63.623,1.165,0.2929,2.349,GUF
ABAB,ABB-096,1388.2116,,-9.3422,63.623,1.161,0.2929,2.349,GUF
ABAB,ABB-096,1388.364,,-9.7802,63.623,1.171,0.2929,2.349,GUF
ABAB,ABB-096,1388.5164,,-10.2182,63.623,1.181,0.2929,2.349,GUF
ABAB,ABB-096,1388.6688,,-10.6552,63.623,1.191,0.2929,2.349,GUF
ABAB,ABB-096,1388.8212,,-10.9173,63.623,1.201,0.2929,2.349,GUF
ABAB,ABB-096,1388.9736,,-11.1783,63.623,1.212,0.2929,2.349,GUF
ABAB,ABB-096,1389.126,,-11.4403,63.623,1.222,0.2929,2.349,GUF
ABAB,ABB-096,1389.2784,,-11.7013,63.623,1.232,0.2929,2.349,GUF
ABAB,ABB-096,1389.4308,,-11.9633,63.623,1.256,0.2929,2.349,GUF
ABAB,ABB-096,1389.5832,,-11.7263,63.623,1.281,0.2929,2.349,GUF
ABAB,ABB-096,1389.7356,,-11.4903,63.623,1.305,0.2929,2.349,GUF
ABAB,ABB-096,1389.888,,-11.2543,63.623,1.329,0.2929,2.349,GUF
ABAB,ABB-096,1390.0404,,-11.0183,63.623,1.353,0.2929,2.349,GUF
ABAB,ABB-096,1390.1928,,-10.7814,63.623,1.378,0.2929,2.349,GUF
ABAB,ABB-096,1390.3452,,-10.5454,63.623,1.402,0.2929,2.349,GUF
ABAB,ABB-096,1390.4976,,-10.3324,63.623,1.426,0.2929,2.349,GUF
ABAB,ABB-096,1390.65,,-10.1194,63.623,1.421,0.2929,2.349,GUF
ABAB,ABB-096,1390.8024,,-9.9064,63.623,1.416,0.2929,2.349,GUF
ABAB,ABB-096,1390.9548,,-10.3994,63.623,1.411,0.2929,2.349,GUF
ABAB,ABB-096,1391.1072,,-10.8934,63.623,1.406,0.2929,2.349,GUF
ABAB,ABB-096,1391.2596,,-11.3864,63.623,1.401,0.2929,2.349,GUF
ABAB,ABB-096,1391.412,,-11.8795,63.623,1.396,0.2929,2.349,GUF
ABAB,ABB-096,1391.5644,,-12.0955,63.623,1.389,0.2929,2.349,GUF
ABAB,ABB-096,1391.7168,,-12.3125,63.623,1.382,0.2929,2.349,GUF
ABAB,ABB-096,1391.8692,,-12.5285,63.623,1.375,0.2929,2.349,GUF
ABAB,ABB-096,1392.0216,,-12.7445,63.623,1.367,0.2929,2.349,GUF
ABAB,ABB-096,1392.174,,-12.9605,63.623,1.36,0.2929,2.349,GUF
ABAB,ABB-096,1392.3264,,-13.1415,63.623,1.353,0.2929,2.349,GUF
ABAB,ABB-096,1392.4788,,-13.3215,63.623,1.346,0.2929,2.349,GUF
ABAB,ABB-096,1392.6312,,-13.5025,63.623,1.364,0.2929,2.349,GUF
ABAB,ABB-096,1392.7836,,-13.6826,63.623,1.382,0.2929,2.349,GUF
ABAB,ABB-096,1392.936,,-13.1346,63.623,1.399,0.2929,2.349,GUF
ABAB,ABB-096,1393.0884,,-12.5866,63.623,1.417,0.2929,2.349,GUF
ABAB,ABB-096,1393.2408,,-12.0386,63.623,1.434,0.2929,2.349,GUF
ABAB,ABB-096,1393.3932,,-11.4906,63.623,1.452,0.2929,2.349,GUF
ABAB,ABB-096,1393.5456,,-10.9426,63.623,1.469,0.2929,2.349,GUF
ABAB,ABB-096,1393.698,,-10.4736,63.623,1.487,0.2929,2.349,GUF
ABAB,ABB-096,1393.8504,,-10.0046,63.623,1.486,0.2929,2.349,GUF
ABAB,ABB-096,1394.0028,,-9.5357,63.623,1.485,0.2929,2.349,GUF
ABAB,ABB-096,1394.1552,,-9.8637,63.623,1.483,0.2929,2.349,GUF
ABAB,ABB-096,1394.3076,,-10.1917,63.623,1.482,0.2929,2.349,GUF
ABAB,ABB-096,1394.46,,-10.5197,63.623,1.481,0.2929,2.349,GUF
ABAB,ABB-096,1394.6124,,-10.8477,63.623,1.48,0.2929,2.349,GUF
ABAB,ABB-096,1394.7648,,-11.0577,63.623,1.479,0.2929,2.349,GUF
ABAB,ABB-096,1394.9172,,-11.2667,63.623,1.478,0.2929,2.349,GUF
ABAB,ABB-096,1395.0696,,-11.4757,63.623,1.484,0.2929,2.349,GUF
ABAB,ABB-096,1395.222,,-11.6857,63.623,1.49,0.2929,2.349,GUF
ABAB,ABB-096,1395.3744,,-11.5418,63.623,1.495,0.2929,2.349,GUF
ABAB,ABB-096,1395.5268,,-11.3988,63.623,1.501,0.2929,2.349,GUF
ABAB,ABB-096,1395.6792,,-11.2908,63.623,1.507,0.2929,2.349,GUF
ABAB,ABB-096,1395.8316,,-11.1818,63.623,1.513,0.2929,2.349,GUF
ABAB,ABB-096,1395.984,,-11.0728,63.623,1.528,0.2929,2.349,GUF
ABAB,ABB-096,1396.1364,,-10.9648,63.623,1.543,0.2929,2.349,GUF
ABAB,ABB-096,1396.2888,,-10.8558,63.623,1.557,0.2929,2.349,GUF
ABAB,ABB-096,1396.4412,,-10.8418,63.623,1.572,0.2929,2.349,GUF
ABAB,ABB-096,1396.5936,,-10.8279,63.623,1.587,0.2929,2.349,GUF
ABAB,ABB-096,1396.746,,-11.2119,63.623,1.602,0.2929,2.349,GUF
ABAB,ABB-096,1396.8984,,-11.5959,63.623,1.616,0.2929,2.349,GUF
ABAB,ABB-096,1397.0508,,-11.9799,63.623,1.631,0.2929,2.349,GUF
ABAB,ABB-096,1397.2032,,-12.3639,63.623,1.637,0.2929,2.349,GUF
ABAB,ABB-096,1397.3556,,-13.0759,63.623,1.643,0.2929,2.349,GUF
ABAB,ABB-096,1397.508,,-13.7879,63.623,1.65,0.2929,2.349,GUF
ABAB,ABB-096,1397.6604,,-14.4999,63.623,1.656,0.2929,2.349,GUF
ABAB,ABB-096,1397.8128,,-14.5949,63.623,1.662,0.2929,2.349,GUF
ABAB,ABB-096,1397.9652,,-14.691,63.623,1.668,0.2929,2.349,GUF
ABAB,ABB-096,1398.1176,,-14.073,63.623,1.674,0.2929,2.349,GUF
ABAB,ABB-096,1398.27,,-13.751,63.623,1.681,0.2929,2.349,GUF
ABAB,ABB-096,1398.4224,,-13.43,63.623,1.671,0.2929,2.349,GUF
ABAB,ABB-096,1398.5748,,-13.109,63.623,1.662,0.2929,2.349,GUF
ABAB,ABB-096,1398.7272,,-12.787,63.623,1.652,0.2929,2.349,GUF
ABAB,ABB-096,1398.8796,,-13.21,63.623,1.643,0.2929,2.349,GUF
ABAB,ABB-096,1399.032,,-13.632,63.623,1.633,0.2929,2.349,GUF
ABAB,ABB-096,1399.1844,,-14.055,63.623,1.615,0.2929,2.349,GUF
ABAB,ABB-096,1399.3368,,-14.2391,63.623,1.596,0.2929,2.349,GUF
ABAB,ABB-096,1399.4892,,-14.4241,63.623,1.577,0.2929,2.349,GUF
ABAB,ABB-096,1399.6416,,-14.6081,63.623,1.559,0.2929,2.349,GUF
ABAB,ABB-096,1399.794,,-14.0361,63.623,1.54,0.2929,2.349,GUF
ABAB,ABB-096,1399.9464,,-13.4641,63.623,1.521,0.2929,2.349,GUF
ABAB,ABB-096,1400.0988,,-12.8921,63.623,1.503,0.2929,2.349,GUF
ABAB,ABB-096,1400.2512,,-12.7271,63.623,1.516,0.2929,2.349,GUF
ABAB,ABB-096,1400.4036,,-12.5611,63.623,1.53,0.2929,2.349,GUF
ABAB,ABB-096,1400.556,,-12.3952,63.623,1.544,0.2929,2.349,GUF
ABAB,ABB-096,1400.7084,,-12.2302,63.623,1.557,0.2929,2.349,GUF
ABAB,ABB-096,1400.8608,,-12.4942,63.623,1.604,0.2929,2.349,GUF
ABAB,ABB-096,1401.0132,,-12.7572,63.623,1.651,0.2929,2.349,GUF
ABAB,ABB-096,1401.1656,,-13.0212,63.623,1.697,0.2929,2.349,GUF
ABAB,ABB-096,1401.318,,-13.2852,63.623,1.744,0.2929,2.349,GUF
ABAB,ABB-096,1401.4704,,-13.3562,63.623,1.791,0.2929,2.349,GUF
ABAB,ABB-096,1401.6228,,-13.4282,63.623,1.837,0.2929,2.349,GUF
ABAB,ABB-096,1401.7752,,-13.2302,63.623,1.848,0.2929,2.349,GUF
ABAB,ABB-096,1401.9276,,-13.0313,63.623,1.858,0.2929,2.349,GUF
ABAB,ABB-096,1402.08,,-12.8333,63.623,1.868,0.2929,2.349,GUF
ABAB,ABB-096,1402.2324,,-12.6353,63.623,1.878,0.2929,2.349,GUF
ABAB,ABB-096,1402.3848,,-12.5023,63.623,1.833,0.2929,2.349,GUF
ABAB,ABB-096,1402.5372,,-12.3683,63.623,1.787,0.2929,2.349,GUF
ABAB,ABB-096,1402.6896,,-12.2343,63.623,1.741,0.2929,2.349,GUF
ABAB,ABB-096,1402.842,,-12.1013,63.623,1.696,0.2929,2.349,GUF
ABAB,ABB-096,1402.9944,,-11.9673,63.623,1.65,0.2929,2.349,GUF
ABAB,ABB-096,1403.1468,,-11.6754,63.623,1.608,0.2929,2.349,GUF
ABAB,ABB-096,1403.2992,,-11.3844,63.623,1.567,0.2929,2.349,GUF
ABAB,ABB-096,1403.4516,,-11.0934,63.623,1.525,0.2929,2.349,GUF
ABAB,ABB-096,1403.604,,-10.8014,63.623,1.501,0.2929,2.349,GUF
ABAB,ABB-096,1403.7564,,-10.5104,63.623,1.477,0.2929,2.349,GUF
ABAB,ABB-096,1403.9088,,-10.2184,63.623,1.511,0.2929,2.349,GUF
ABAB,ABB-096,1404.0612,,-9.9114,63.623,1.545,0.2929,2.349,GUF
ABAB,ABB-096,1404.2136,,-9.6044,63.623,1.58,0.2929,2.349,GUF
ABAB,ABB-096,1404.366,,-9.2974,63.623,1.614,0.2929,2.349,GUF
ABAB,ABB-096,1404.5184,,-8.9915,63.623,1.603,0.2929,2.349,GUF
ABAB,ABB-096,1404.6708,,-8.6835,63.623,1.592,0.2929,2.349,GUF
ABAB,ABB-096,1404.8232,,-8.5525,63.623,1.582,0.2929,2.349,GUF
ABAB,ABB-096,1404.9756,,-8.4205,63.623,1.571,0.2929,2.349,GUF
ABAB,ABB-096,1405.128,,-8.2885,63.623,1.56,0.2929,2.349,GUF
ABAB,ABB-096,1405.2804,,-8.1575,63.623,1.522,0.2929,2.349,GUF
ABAB,ABB-096,1405.4328,,-8.0255,63.623,1.484,0.2929,2.349,GUF
ABAB,ABB-096,1405.5852,,-8.2945,63.623,1.446,0.2929,2.349,GUF
ABAB,ABB-096,1405.7376,,-8.5636,63.623,1.408,0.2929,2.349,GUF
ABAB,ABB-096,1405.89,,-8.8326,63.623,1.369,0.2929,2.349,GUF
ABAB,ABB-096,1406.0424,,-9.1016,63.623,1.331,0.2929,2.349,GUF
ABAB,ABB-096,1406.1948,,-9.4256,63.623,1.293,0.2929,2.349,GUF
ABAB,ABB-096,1406.3472,,-9.7496,63.623,1.302,0.2929,2.349,GUF
ABAB,ABB-096,1406.4996,,-10.0736,63.623,1.31,0.2929,2.349,GUF
ABAB,ABB-096,1406.652,,-10.3976,63.623,1.319,0.2929,2.349,GUF
ABAB,ABB-096,1406.8044,,-10.4296,63.623,1.327,0.2929,2.349,GUF
ABAB,ABB-096,1406.9568,,-10.4627,63.623,1.335,0.2929,2.349,GUF
ABAB,ABB-096,1407.1092,,-10.4947,63.623,1.368,0.2929,2.349,GUF
ABAB,ABB-096,1407.2616,,-10.5277,63.623,1.4,0.2929,2.349,GUF
ABAB,ABB-096,1407.414,,-10.3057,63.623,1.432,0.2929,2.349,GUF
ABAB,ABB-096,1407.5664,,-10.0827,63.623,1.465,0.2929,2.349,GUF
ABAB,ABB-096,1407.7188,,-9.8607,63.623,1.497,0.2929,2.349,GUF
ABAB,ABB-096,1407.8712,,-9.6387,63.623,1.534,0.2929,2.349,GUF
ABAB,ABB-096,1408.0236,,-9.4127,63.623,1.545,0.2929,2.349,GUF
ABAB,ABB-096,1408.176,,-9.1867,63.623,1.557,0.2929,2.349,GUF
ABAB,ABB-096,1408.3284,,-8.9618,63.623,1.568,0.2929,2.349,GUF
ABAB,ABB-096,1408.4808,,-9.1938,63.623,1.58,0.2929,2.349,GUF
ABAB,ABB-096,1408.6332,,-9.4268,63.623,1.591,0.2929,2.349,GUF
ABAB,ABB-096,1408.7856,,-9.6588,63.623,1.603,0.2929,2.349,GUF
ABAB,ABB-096,1408.938,,-9.8918,63.623,1.614,0.2929,2.349,GUF
ABAB,ABB-096,1409.0904,,-10.2258,63.623,1.626,0.2929,2.349,GUF
ABAB,ABB-096,1409.2428,,-10.5598,63.623,1.637,0.2929,2.349,GUF
ABAB,ABB-096,1409.3952,,-10.6168,63.623,1.62,0.2929,2.349,GUF
ABAB,ABB-096,1409.5476,,-10.6738,63.623,1.604,0.2929,2.349,GUF
ABAB,ABB-096,1409.7,,-10.7309,63.623,1.587,0.2929,2.349,GUF
