STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,VSH_GR,GR_RAW,GR_NORM,GR_RAW_NORM
ABAB,ABB-035,1377.8484,,-23.584,22.642,0.84,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1378.0008,,-23.345,22.642,0.866,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1378.1532,,-23.107,22.642,0.891,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1378.3056,,-22.868,22.642,0.916,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1378.458,,-22.879,22.642,0.94,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1378.6104,,-22.89,22.642,0.965,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1378.7628,,-22.901,22.642,1.012,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1378.9152,,-23.509,22.642,1.058,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1379.0676,,-24.118,22.642,1.105,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1379.22,,-24.726,22.642,1.135,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1379.3724,,-25.36,22.642,1.164,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1379.5248,,-25.994,22.642,1.194,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1379.6772,,-26.628,22.642,1.223,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1379.8296,,-26.322,22.642,1.211,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1379.982,,-26.017,22.642,1.198,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1380.1344,,-25.711,22.642,1.172,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1380.2868,,-25.299,22.642,1.145,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1380.4392,,-24.886,22.642,1.119,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1380.5916,,-24.473,22.642,1.095,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1380.744,,-24.06,22.642,1.071,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1380.8964,,-24.258,22.642,1.06,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1381.0488,,-24.455,22.642,1.05,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1381.2012,,-24.653,22.642,1.039,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1381.3536,,-24.85,22.642,1.039,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
