STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER
ABAB,ABB-136,1371.7524,,-0.0822,65.646,1.464,0.2774,2.438,GUF
ABAB,ABB-136,1371.9048,8.187,0.1458,65.646,1.475,0.2774,2.438,GUF
ABAB,ABB-136,1372.0572,8.184,0.3749,65.646,1.486,0.2774,2.438,GUF
ABAB,ABB-136,1372.2096,8.181,0.5039,65.646,1.476,0.2774,2.438,GUF
ABAB,ABB-136,1372.362,8.178,0.6329,65.646,1.465,0.2774,2.438,GUF
ABAB,ABB-136,1372.5144,8.208,0.7619,65.646,1.455,0.2774,2.438,GUF
ABAB,ABB-136,1372.6668,8.239,0.8909,65.646,1.406,0.2774,2.438,GUF
ABAB,ABB-136,1372.8192,8.269,1.0199,65.646,1.359,0.2774,2.438,GUF
ABAB,ABB-136,1372.9716,8.3,1.036,65.646,1.32,0.2774,2.438,GUF
ABAB,ABB-136,1373.124,8.33,1.053,65.646,1.283,0.2774,2.438,GUF
ABAB,ABB-136,1373.2764,8.377,1.069,65.646,1.241,0.2774,2.438,GUF
ABAB,ABB-136,1373.4288,8.424,1.086,65.646,1.2,0.2774,2.438,GUF
ABAB,ABB-136,1373.5812,8.471,1.102,65.646,1.166,0.2774,2.438,GUF
ABAB,ABB-136,1373.7336,8.484,1.118,65.646,1.134,0.2774,2.438,GUF
ABAB,ABB-136,1373.886,8.497,1.1351,65.646,1.102,0.2774,2.438,GUF
ABAB,ABB-136,1374.0384,8.51,1.1411,65.646,1.085,0.2774,2.438,GUF
ABAB,ABB-136,1374.1908,8.502,1.1481,65.646,1.069,0.2774,2.438,GUF
ABAB,ABB-136,1374.3432,8.494,1.1541,65.646,1.053,0.2774,2.438,GUF
ABAB,ABB-136,1374.4956,8.486,1.1611,65.646,1.067,0.2774,2.438,GUF
ABAB,ABB-136,1374.648,8.478,1.1671,65.646,1.081,0.2774,2.438,GUF
ABAB,ABB-136,1374.8004,8.47,1.1742,65.646,1.095,0.2774,2.438,GUF
ABAB,ABB-136,1374.9528,8.449,1.1812,65.646,1.109,0.2774,2.438,GUF
ABAB,ABB-136,1375.1052,8.428,1.1872,65.646,1.124,0.2774,2.438,GUF
ABAB,ABB-136,1375.2576,8.407,1.1352,65.646,1.17,0.2774,2.438,GUF
ABAB,ABB-136,1375.41,8.387,1.0832,65.646,1.218,0.2774,2.438,GUF
ABAB,ABB-136,1375.5624,8.366,1.0303,65.646,1.267,0.2774,2.438,GUF
ABAB,ABB-136,1375.7148,8.33,0.9783,65.646,1.319,0.2774,2.438,GUF
ABAB,ABB-136,1375.8672,8.294,0.9263,65.646,1.396,0.2774,2.438,GUF
ABAB,ABB-136,1376.0196,8.258,0.7133,65.646,1.478,0.2774,2.438,GUF
ABAB,ABB-136,1376.172,8.222,0.5003,65.646,1.518,0.2774,2.438,GUF
ABAB,ABB-136,1376.3244,8.198,0.2873,65.646,1.559,0.2774,2.438,GUF
ABAB,ABB-136,1376.4768,8.175,0.0754,65.646,1.602,0.2774,2.438,GUF
ABAB,ABB-136,1376.6292,8.152,-0.1596,65.646,1.601,0.2774,2.438,GUF
ABAB,ABB-136,1376.7816,8.129,-0.3936,65.646,1.6,0.2774,2.438,GUF
ABAB,ABB-136,1376.934,8.109,-0.6286,65.646,1.599,0.2774,2.438,GUF
ABAB,ABB-136,1377.0864,8.09,-0.8626,65.646,1.598,0.2774,2.438,GUF
ABAB,ABB-136,1377.2388,8.071,-0.7766,65.646,1.606,0.2774,2.438,GUF
ABAB,ABB-136,1377.3912,8.052,-0.6905,65.646,1.615,0.2774,2.438,GUF
ABAB,ABB-136,1377.5436,8.055,-0.6035,65.646,1.623,0.2774,2.438,GUF
ABAB,ABB-136,1377.696,8.058,-0.3035,65.646,1.632,0.2774,2.438,GUF
ABAB,ABB-136,1377.8484,8.061,-0.0025,65.646,1.624,0.2774,2.438,GUF
ABAB,ABB-136,1378.0008,8.064,0.2975,65.646,1.617,0.2774,2.438,GUF
ABAB,ABB-136,1378.1532,8.068,0.4265,65.646,1.609,0.2774,2.438,GUF
ABAB,ABB-136,1378.3056,8.114,0.5546,65.646,1.602,0.2774,2.438,GUF
ABAB,ABB-136,1378.458,8.16,0.6836,65.646,1.561,0.2774,2.438,GUF
ABAB,ABB-136,1378.6104,8.206,0.8116,65.646,1.522,0.2774,2.438,GUF
ABAB,ABB-136,1378.7628,8.25,0.9406,65.646,1.483,0.2774,2.438,GUF
ABAB,ABB-136,1378.9152,8.294,0.8736,65.646,1.453,0.2774,2.438,GUF
ABAB,ABB-136,1379.0676,8.339,0.8066,65.646,1.423,0.2774,2.438,GUF
ABAB,ABB-136,1379.22,8.362,0.7397,65.646,1.395,0.2774,2.438,GUF
ABAB,ABB-136,1379.3724,8.385,0.6727,65.646,1.366,0.2774,2.438,GUF
ABAB,ABB-136,1379.5248,8.408,0.6057,65.646,1.38,0.2774,2.438,GUF
ABAB,ABB-136,1379.6772,8.431,0.5387,65.646,1.393,0.2774,2.438,GUF
ABAB,ABB-136,1379.8296,8.454,0.5657,65.646,1.407,0.2774,2.438,GUF
ABAB,ABB-136,1379.982,8.467,0.5928,65.646,1.424,0.2774,2.438,GUF
ABAB,ABB-136,1380.1344,8.48,0.6198,65.646,1.441,0.2774,2.438,GUF
ABAB,ABB-136,1380.2868,8.493,0.6468,65.646,1.459,0.2774,2.438,GUF
ABAB,ABB-136,1380.4392,8.506,0.6738,65.646,1.477,0.2774,2.438,GUF
ABAB,ABB-136,1380.5916,8.501,0.7008,65.646,1.483,0.2774,2.438,GUF
ABAB,ABB-136,1380.744,8.495,0.5978,65.646,1.488,0.2774,2.438,GUF
ABAB,ABB-136,1380.8964,8.49,0.4939,65.646,1.494,0.2774,2.438,GUF
ABAB,ABB-136,1381.0488,8.484,0.3909,65.646,1.5,0.2774,2.438,GUF
ABAB,ABB-136,1381.2012,8.469,0.2879,65.646,1.505,0.2774,2.438,GUF
ABAB,ABB-136,1381.3536,8.453,0.1839,65.646,1.505,0.2774,2.438,GUF
ABAB,ABB-136,1381.506,8.437,0.2079,65.646,1.505,0.2774,2.438,GUF
ABAB,ABB-136,1381.6584,8.422,0.2319,65.646,1.505,0.2774,2.438,GUF
ABAB,ABB-136,1381.8108,8.406,0.255,65.646,1.505,0.2774,2.438,GUF
ABAB,ABB-136,1381.9632,8.398,0.279,65.646,1.505,0.2774,2.438,GUF
ABAB,ABB-136,1382.1156,8.39,0.303,65.646,1.515,0.2774,2.438,GUF
ABAB,ABB-136,1382.268,8.383,0.327,65.646,1.525,0.2774,2.438,GUF
ABAB,ABB-136,1382.4204,8.375,0.187,65.646,1.534,0.2774,2.438,GUF
ABAB,ABB-136,1382.5728,8.345,0.048,65.646,1.544,0.2774,2.438,GUF
ABAB,ABB-136,1382.7252,8.315,-0.0909,65.646,1.565,0.2774,2.438,GUF
ABAB,ABB-136,1382.8776,8.286,-0.2299,65.646,1.587,0.2774,2.438,GUF
ABAB,ABB-136,1383.03,8.256,-0.3689,65.646,1.609,0.2774,2.438,GUF
ABAB,ABB-136,1383.1824,8.209,-0.6799,65.646,1.631,0.2774,2.438,GUF
ABAB,ABB-136,1383.3348,8.163,-0.9899,65.646,1.681,0.2774,2.438,GUF
ABAB,ABB-136,1383.4872,8.116,-1.3008,65.646,1.732,0.2774,2.438,GUF
ABAB,ABB-136,1383.6396,8.069,-1.6118,65.646,1.832,0.2774,2.438,GUF
ABAB,ABB-136,1383.792,8.043,-1.9218,65.646,1.943,0.2774,2.438,GUF
ABAB,ABB-136,1383.9444,8.018,-2.0208,65.646,2.036,0.2774,2.438,GUF
ABAB,ABB-136,1384.0968,7.992,-2.1188,65.646,2.133,0.2774,2.438,GUF
ABAB,ABB-136,1384.2492,7.967,-2.2178,65.646,2.183,0.2774,2.438,GUF
ABAB,ABB-136,1384.4016,7.997,-2.3157,65.646,2.234,0.2774,2.438,GUF
ABAB,ABB-136,1384.554,8.028,-2.4147,65.646,2.201,0.2774,2.438,GUF
ABAB,ABB-136,1384.7064,8.059,-2.5127,65.646,2.088,0.2774,2.438,GUF
ABAB,ABB-136,1384.8588,8.09,-2.1597,65.646,1.973,0.2774,2.438,GUF
ABAB,ABB-136,1385.0112,8.113,-1.8067,65.646,1.865,0.2774,2.438,GUF
ABAB,ABB-136,1385.1636,8.136,-1.4537,65.646,1.803,0.2774,2.438,GUF
ABAB,ABB-136,1385.316,8.159,-1.2436,65.646,1.743,0.2774,2.438,GUF
ABAB,ABB-136,1385.4684,8.182,-1.0336,65.646,1.685,0.2774,2.438,GUF
ABAB,ABB-136,1385.6208,8.174,-0.8236,65.646,1.663,0.2774,2.438,GUF
ABAB,ABB-136,1385.7732,8.167,-0.8736,65.646,1.642,0.2774,2.438,GUF
ABAB,ABB-136,1385.9256,8.16,-0.9246,65.646,1.621,0.2774,2.438,GUF
ABAB,ABB-136,1386.078,8.152,-0.9756,65.646,1.6,0.2774,2.438,GUF
ABAB,ABB-136,1386.2304,8.144,-1.0785,65.646,1.596,0.2774,2.438,GUF
ABAB,ABB-136,1386.3828,8.162,-1.1825,65.646,1.592,0.2774,2.438,GUF
ABAB,ABB-136,1386.5352,8.179,-1.2855,65.646,1.589,0.2774,2.438,GUF
ABAB,ABB-136,1386.6876,8.196,-1.3885,65.646,1.609,0.2774,2.438,GUF
ABAB,ABB-136,1386.84,8.213,-1.1905,65.646,1.629,0.2774,2.438,GUF
ABAB,ABB-136,1386.9924,8.236,-0.9915,65.646,1.65,0.2774,2.438,GUF
ABAB,ABB-136,1387.1448,8.26,-0.7934,65.646,1.696,0.2774,2.438,GUF
ABAB,ABB-136,1387.2972,8.283,-0.5954,65.646,1.742,0.2774,2.438,GUF
ABAB,ABB-136,1387.4496,8.307,-0.3964,65.646,1.842,0.2774,2.438,GUF
ABAB,ABB-136,1387.602,8.31,-0.1984,65.646,1.946,0.2774,2.438,GUF
ABAB,ABB-136,1387.7544,8.314,0.1926,65.646,2.007,0.2774,2.438,GUF
ABAB,ABB-136,1387.9068,8.317,0.5837,65.646,1.998,0.2774,2.438,GUF
ABAB,ABB-136,1388.0592,8.32,0.9737,65.646,1.988,0.2774,2.438,GUF
ABAB,ABB-136,1388.2116,8.324,1.3647,65.646,1.979,0.2774,2.438,GUF
ABAB,ABB-136,1388.364,8.373,1.7557,65.646,1.915,0.2774,2.438,GUF
ABAB,ABB-136,1388.5164,8.422,1.7787,65.646,1.854,0.2774,2.438,GUF
ABAB,ABB-136,1388.6688,8.47,1.8017,65.646,1.783,0.2774,2.438,GUF
ABAB,ABB-136,1388.8212,8.519,1.8258,65.646,1.715,0.2774,2.438,GUF
ABAB,ABB-136,1388.9736,8.53,1.8488,65.646,1.666,0.2774,2.438,GUF
ABAB,ABB-136,1389.126,8.542,1.4568,65.646,1.618,0.2774,2.438,GUF
ABAB,ABB-136,1389.2784,8.553,1.0658,65.646,1.614,0.2774,2.438,GUF
ABAB,ABB-136,1389.4308,8.564,0.6738,65.646,1.611,0.2774,2.438,GUF
ABAB,ABB-136,1389.5832,8.575,0.2828,65.646,1.607,0.2774,2.438,GUF
ABAB,ABB-136,1389.7356,8.586,-0.1091,65.646,1.603,0.2774,2.438,GUF
ABAB,ABB-136,1389.888,8.582,-0.2131,65.646,1.596,0.2774,2.438,GUF
ABAB,ABB-136,1390.0404,8.578,-0.3171,65.646,1.589,0.2774,2.438,GUF
ABAB,ABB-136,1390.1928,8.573,-0.4221,65.646,1.577,0.2774,2.438,GUF
ABAB,ABB-136,1390.3452,8.569,-0.5261,65.646,1.566,0.2774,2.438,GUF
ABAB,ABB-136,1390.4976,8.565,-0.6311,65.646,1.555,0.2774,2.438,GUF
ABAB,ABB-136,1390.65,8.56,-0.518,65.646,1.544,0.2774,2.438,GUF
ABAB,ABB-136,1390.8024,8.557,-0.406,65.646,1.543,0.2774,2.438,GUF
ABAB,ABB-136,1390.9548,8.553,-0.294,65.646,1.541,0.2774,2.438,GUF
ABAB,ABB-136,1391.1072,8.549,-0.182,65.646,1.54,0.2774,2.438,GUF
ABAB,ABB-136,1391.2596,8.546,-0.07,65.646,1.538,0.2774,2.438,GUF
ABAB,ABB-136,1391.412,8.542,-0.0539,65.646,1.549,0.2774,2.438,GUF
ABAB,ABB-136,1391.5644,8.538,-0.0379,65.646,1.559,0.2774,2.438,GUF
ABAB,ABB-136,1391.7168,8.505,-0.0229,65.646,1.569,0.2774,2.438,GUF
ABAB,ABB-136,1391.8692,8.472,-0.0069,65.646,1.58,0.2774,2.438,GUF
ABAB,ABB-136,1392.0216,8.438,0.0081,65.646,1.616,0.2774,2.438,GUF
ABAB,ABB-136,1392.174,8.401,0.0241,65.646,1.653,0.2774,2.438,GUF
ABAB,ABB-136,1392.3264,8.363,0.0392,65.646,1.677,0.2774,2.438,GUF
ABAB,ABB-136,1392.4788,8.325,0.0552,65.646,1.701,0.2774,2.438,GUF
ABAB,ABB-136,1392.6312,8.288,0.1182,65.646,1.67,0.2774,2.438,GUF
ABAB,ABB-136,1392.7836,8.296,0.1802,65.646,1.629,0.2774,2.438,GUF
ABAB,ABB-136,1392.936,8.305,0.2432,65.646,1.589,0.2774,2.438,GUF
ABAB,ABB-136,1393.0884,8.313,0.3062,65.646,1.556,0.2774,2.438,GUF
ABAB,ABB-136,1393.2408,8.345,0.3693,65.646,1.524,0.2774,2.438,GUF
ABAB,ABB-136,1393.3932,8.377,0.4313,65.646,1.496,0.2774,2.438,GUF
ABAB,ABB-136,1393.5456,8.41,0.4943,65.646,1.468,0.2774,2.438,GUF
ABAB,ABB-136,1393.698,8.441,0.3213,65.646,1.441,0.2774,2.438,GUF
ABAB,ABB-136,1393.8504,8.474,0.1483,65.646,1.446,0.2774,2.438,GUF
ABAB,ABB-136,1394.0028,8.463,-0.0247,65.646,1.452,0.2774,2.438,GUF
ABAB,ABB-136,1394.1552,8.453,-0.1976,65.646,1.457,0.2774,2.438,GUF
ABAB,ABB-136,1394.3076,8.442,-0.3706,65.646,1.481,0.2774,2.438,GUF
ABAB,ABB-136,1394.46,8.432,-0.5436,65.646,1.506,0.2774,2.438,GUF
ABAB,ABB-136,1394.6124,8.422,-0.5576,65.646,1.531,0.2774,2.438,GUF
ABAB,ABB-136,1394.7648,8.427,-0.5706,65.646,1.553,0.2774,2.438,GUF
ABAB,ABB-136,1394.9172,8.433,-0.5845,65.646,1.576,0.2774,2.438,GUF
ABAB,ABB-136,1395.0696,8.439,-0.5985,65.646,1.599,0.2774,2.438,GUF
ABAB,ABB-136,1395.222,8.444,-0.6125,65.646,1.622,0.2774,2.438,GUF
ABAB,ABB-136,1395.3744,8.45,-0.6265,65.646,1.631,0.2774,2.438,GUF
ABAB,ABB-136,1395.5268,8.456,-0.5285,65.646,1.641,0.2774,2.438,GUF
ABAB,ABB-136,1395.6792,8.458,-0.4295,65.646,1.65,0.2774,2.438,GUF
ABAB,ABB-136,1395.8316,8.46,-0.3314,65.646,1.636,0.2774,2.438,GUF
ABAB,ABB-136,1395.984,8.462,-0.2324,65.646,1.622,0.2774,2.438,GUF
ABAB,ABB-136,1396.1364,8.464,-0.1344,65.646,1.608,0.2774,2.438,GUF
ABAB,ABB-136,1396.2888,8.466,-0.0364,65.646,1.569,0.2774,2.438,GUF
ABAB,ABB-136,1396.4412,8.467,-0.1784,65.646,1.531,0.2774,2.438,GUF
ABAB,ABB-136,1396.5936,8.468,-0.3214,65.646,1.494,0.2774,2.438,GUF
ABAB,ABB-136,1396.746,8.469,-0.4633,65.646,1.436,0.2774,2.438,GUF
ABAB,ABB-136,1396.8984,8.47,-0.6063,65.646,1.379,0.2774,2.438,GUF
ABAB,ABB-136,1397.0508,8.471,-0.7493,65.646,1.325,0.2774,2.438,GUF
ABAB,ABB-136,1397.2032,8.495,-0.8913,65.646,1.269,0.2774,2.438,GUF
ABAB,ABB-136,1397.3556,8.519,-0.8503,65.646,1.215,0.2774,2.438,GUF
ABAB,ABB-136,1397.508,8.543,-0.8093,65.646,1.205,0.2774,2.438,GUF
ABAB,ABB-136,1397.6604,8.567,-0.7672,65.646,1.195,0.2774,2.438,GUF
ABAB,ABB-136,1397.8128,8.545,-0.7262,65.646,1.211,0.2774,2.438,GUF
ABAB,ABB-136,1397.9652,8.524,-0.6852,65.646,1.226,0.2774,2.438,GUF
ABAB,ABB-136,1398.1176,8.503,-0.6432,65.646,1.242,0.2774,2.438,GUF
ABAB,ABB-136,1398.27,8.481,-0.6022,65.646,1.259,0.2774,2.438,GUF
ABAB,ABB-136,1398.4224,8.46,-0.5602,65.646,1.277,0.2774,2.438,GUF
ABAB,ABB-136,1398.5748,8.458,-0.6751,65.646,1.294,0.2774,2.438,GUF
ABAB,ABB-136,1398.7272,8.457,-0.7911,65.646,1.312,0.2774,2.438,GUF
ABAB,ABB-136,1398.8796,8.455,-0.9061,65.646,1.327,0.2774,2.438,GUF
ABAB,ABB-136,1399.032,8.454,-1.0211,65.646,1.343,0.2774,2.438,GUF
ABAB,ABB-136,1399.1844,8.452,-1.1361,65.646,1.359,0.2774,2.438,GUF
ABAB,ABB-136,1399.3368,8.451,-1.251,65.646,1.342,0.2774,2.438,GUF
ABAB,ABB-136,1399.4892,8.464,-1.366,65.646,1.326,0.2774,2.438,GUF
ABAB,ABB-136,1399.6416,8.477,-1.481,65.646,1.286,0.2774,2.438,GUF
ABAB,ABB-136,1399.794,8.491,-1.727,65.646,1.247,0.2774,2.438,GUF
ABAB,ABB-136,1399.9464,8.504,-1.972,65.646,1.21,0.2774,2.438,GUF
ABAB,ABB-136,1400.0988,8.518,-2.218,65.646,1.179,0.2774,2.438,GUF
ABAB,ABB-136,1400.2512,8.514,-2.4629,65.646,1.149,0.2774,2.438,GUF
ABAB,ABB-136,1400.4036,8.51,-2.7079,65.646,1.159,0.2774,2.438,GUF
ABAB,ABB-136,1400.556,8.506,-2.9539,65.646,1.168,0.2774,2.438,GUF
ABAB,ABB-136,1400.7084,8.502,-2.9359,65.646,1.177,0.2774,2.438,GUF
ABAB,ABB-136,1400.8608,8.499,-2.9189,65.646,1.197,0.2774,2.438,GUF
ABAB,ABB-136,1401.0132,8.495,-2.9009,65.646,1.218,0.2774,2.438,GUF
ABAB,ABB-136,1401.1656,8.521,-2.8838,65.646,1.239,0.2774,2.438,GUF
ABAB,ABB-136,1401.318,8.547,-2.8658,65.646,1.261,0.2774,2.438,GUF
ABAB,ABB-136,1401.4704,8.573,-2.8488,65.646,1.251,0.2774,2.438,GUF
ABAB,ABB-136,1401.6228,8.599,-2.8308,65.646,1.242,0.2774,2.438,GUF
ABAB,ABB-136,1401.7752,8.625,-2.8138,65.646,1.207,0.2774,2.438,GUF
ABAB,ABB-136,1401.9276,8.651,-2.7958,65.646,1.173,0.2774,2.438,GUF
ABAB,ABB-136,1402.08,8.651,-2.8507,65.646,1.151,0.2774,2.438,GUF
ABAB,ABB-136,1402.2324,8.65,-2.9057,65.646,1.131,0.2774,2.438,GUF
ABAB,ABB-136,1402.3848,8.649,-2.9607,65.646,1.11,0.2774,2.438,GUF
ABAB,ABB-136,1402.5372,8.648,-3.0157,65.646,1.104,0.2774,2.438,GUF
ABAB,ABB-136,1402.6896,8.648,-3.0707,65.646,1.097,0.2774,2.438,GUF
ABAB,ABB-136,1402.842,8.634,-3.1256,65.646,1.091,0.2774,2.438,GUF
ABAB,ABB-136,1402.9944,8.621,-3.1806,65.646,1.109,0.2774,2.438,GUF
ABAB,ABB-136,1403.1468,8.608,-3.0646,65.646,1.127,0.2774,2.438,GUF
ABAB,ABB-136,1403.2992,8.595,-2.9496,65.646,1.145,0.2774,2.438,GUF
ABAB,ABB-136,1403.4516,8.582,-2.8346,65.646,1.191,0.2774,2.438,GUF
ABAB,ABB-136,1403.604,8.569,-2.7196,65.646,1.239,0.2774,2.438,GUF
ABAB,ABB-136,1403.7564,8.582,-2.6045,65.646,1.265,0.2774,2.438,GUF
