STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_NORM
ABAB,ABB-104,1371.6,,1.9539,59.953,1.407,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1371.7524,,1.9844,59.953,1.353,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1371.9048,,2.0159,59.953,1.302,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1372.0572,,1.7604,59.953,1.302,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1372.2096,,1.5059,59.953,1.303,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1372.362,,1.2505,59.953,1.306,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1372.5144,,0.612,59.953,1.309,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1372.6668,,-0.0265,59.953,1.312,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1372.8192,,-0.727,59.953,1.315,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1372.9716,,-1.4284,59.953,1.336,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1373.124,,-1.9089,59.953,1.357,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1373.2764,,-2.3894,59.953,1.403,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1373.4288,,-2.2919,59.953,1.451,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1373.5812,,-2.1944,59.953,1.541,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1373.7336,,-1.0358,59.953,1.59,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1373.886,,0.1227,59.953,1.642,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1374.0384,,1.9052,59.953,1.695,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1374.1908,,2.9437,59.953,1.707,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1374.3432,,3.9833,59.953,1.72,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1374.4956,,4.0578,59.953,1.733,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1374.648,,2.9853,59.953,1.693,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1374.8004,,2.0128,59.953,1.654,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1374.9528,,1.0403,59.953,1.616,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1375.1052,,1.8359,59.953,1.557,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1375.2576,,1.8444,59.953,1.5,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1375.41,,1.8529,59.953,1.471,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1375.5624,,1.8614,59.953,1.443,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1375.7148,,0.744,59.953,1.419,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1375.8672,,0.4145,59.953,1.395,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1376.0196,,0.085,59.953,1.372,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1376.172,,1.0825,59.953,1.323,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1376.3244,,2.079,59.953,1.276,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1376.4768,,2.1996,59.953,1.238,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1376.6292,,2.3201,59.953,1.201,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1376.7816,,1.5916,59.953,1.183,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1376.934,,0.9981,59.953,1.165,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1377.0864,,0.4056,59.953,1.214,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1377.2388,,0.7882,59.953,1.266,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1377.3912,,1.1717,59.953,1.32,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1377.5436,,1.7542,59.953,1.331,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1377.696,,1.4367,59.953,1.314,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1377.8484,,1.1203,59.953,1.297,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1378.0008,,0.7988,59.953,1.271,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1378.1532,,0.9833,59.953,1.246,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1378.3056,,1.1678,59.953,1.221,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1378.458,,1.8273,59.953,1.193,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1378.6104,,2.4879,59.953,1.166,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1378.7628,,2.7434,59.953,1.145,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1378.9152,,2.9989,59.953,1.125,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1379.0676,,2.5434,59.953,1.105,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1379.22,,2.042,59.953,1.1,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1379.3724,,1.5395,59.953,1.094,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1379.5248,,1.038,59.953,1.116,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1379.6772,,0.7505,59.953,1.138,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1379.8296,,0.462,59.953,1.161,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1379.982,,0.8346,59.953,1.193,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1380.1344,,1.3321,59.953,1.227,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1380.2868,,1.8286,59.953,1.246,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1380.4392,,2.3261,59.953,1.265,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1380.5916,,2.0177,59.953,1.258,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1380.744,,1.7092,59.953,1.252,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1380.8964,,0.7547,59.953,1.222,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1381.0488,,0.4292,59.953,1.194,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1381.2012,,0.1037,59.953,1.166,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1381.3536,,-0.2217,59.953,1.136,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1381.506,,-0.1792,59.953,1.107,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1381.6584,,-0.1357,59.953,1.083,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1381.8108,,0.2778,59.953,1.061,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1381.9632,,0.6913,59.953,1.048,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1382.1156,,1.1039,59.953,1.037,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1382.268,,1.5144,59.953,1.025,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1382.4204,,1.9249,59.953,1.03,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1382.5728,,2.1054,59.953,1.034,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1382.7252,,2.286,59.953,1.039,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1382.8776,,1.4735,59.953,1.065,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1383.03,,0.65,59.953,1.092,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1383.1824,,-0.1725,59.953,1.12,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1383.3348,,0.249,59.953,1.152,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1383.4872,,1.0376,59.953,1.186,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1383.6396,,1.8251,59.953,1.22,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1383.792,,2.4766,59.953,1.255,0.3809,2.317,GUF,75.84103916669508
ABAB,ABB-104,1383.9444,,3.1281,59.953,1.291,0.3809,2.317,GUF,75.84103916669508
