DEPTH,STRUKTUR,WELL_NAME,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_RAW,GR_NORM,GR_RAW_NORM,VSH_GR,VSH,PHIE_DEN,PHIT_DEN,PHIE,PHIT,RHO_MAT,RESERVOIR_CLASS,RGSA,GAS_EFFECT_RT,RT_RATIO,RT_DIFF,NGSA,GAS_EFFECT_NPHI,NPHI_DIFF,DGSA,GAS_EFFECT_RHOB,DENS_DIFF,RGSA_ANOM,NGSA_ANOM,DGSA_ANOM,SCORE,ZONA,RW_TEMP,SWE_INDO,SW,RWA_FULL,RWA_SIMPLE,RWA_TAR
1371.6,ABAB,ABB-036,,-63.724,51.408,2.147,0.3126,2.221,GUF,,95.64137931034485,95.64137931034485,0.0156444444444444,0.5176000000000001,0.1731617296675311,0.2216867296675311,0.14472,0.1932449999999999,2.521415830887221,2.0,1.191073124079245,True,1.8025761446508424,0.9559268759207548,0.3126,False,0.0,2.221,False,0.0,True,False,False,1,Zona Lemah,1.2951379310344828,1.0,1.0,0.05906476432006986,0.059945087408873055,0.056351420878983725
1371.7524,ABAB,ABB-036,,-63.608,51.408,2.094,0.3126,2.221,GUF,,95.64137931034485,95.64137931034485,0.0156444444444444,0.5176000000000001,0.1731617296675311,0.2216867296675311,0.14472,0.1932449999999999,2.521415830887221,2.0,1.191073124079245,True,1.7580784568695222,0.9029268759207548,0.3126,False,0.0,2.221,False,0.0,True,False,False,1,Zona Lemah,1.2951379310344828,1.0,1.0,0.057723855210438255,0.058473377570378786,0.055225543986468194
1371.9048,ABAB,ABB-036,,-63.58,51.408,2.04,0.3126,2.221,GUF,,95.64137931034485,95.64137931034485,0.0156444444444444,0.5176000000000001,0.1731617296675311,0.2216867296675311,0.14472,0.1932449999999999,2.521415830887221,2.0,1.191073124079245,True,1.7127411900734602,0.8489268759207551,0.3126,False,0.0,2.221,False,0.0,True,False,False,1,Zona Lemah,1.2951379310344828,1.0,1.0,0.05634469246122938,0.05696716033271854,0.0540591896310476
1372.0572,ABAB,ABB-036,,-63.551,51.408,1.986,0.3126,2.221,GUF,,95.64137931034485,95.64137931034485,0.0156444444444444,0.5176000000000001,0.1731617296675311,0.2216867296675311,0.14472,0.1932449999999999,2.521415830887221,2.0,1.191073124079245,True,1.6674039232773978,0.7949268759207551,0.3126,False,0.0,2.221,False,0.0,True,False,False,1,Zona Lemah,1.2951379310344828,1.0,1.0,0.054952633000563994,0.055454396371509694,0.05287334910645357
1372.2096,ABAB,ABB-036,,-63.523,51.408,1.941,0.3126,2.221,GUF,,95.64137931034485,95.64137931034485,0.0156444444444444,0.5176000000000001,0.1731617296675311,0.2216867296675311,0.14472,0.1932449999999999,2.521415830887221,2.0,1.191073124079245,True,1.6296228676140128,0.7499268759207551,0.3126,False,0.0,2.221,False,0.0,True,False,False,1,Zona Lemah,1.2951379310344828,1.0,1.0,0.05378287587586728,0.054188954610456,0.05187022766294596
1372.362,ABAB,ABB-036,,-63.4996,51.408,1.895,0.3126,2.221,GUF,,95.64137931034485,95.64137931034485,0.0156444444444444,0.5176000000000001,0.1731617296675311,0.2216867296675311,0.14472,0.1932449999999999,2.521415830887221,2.0,1.191073124079245,True,1.5910022329358855,0.7039268759207551,0.3126,False,0.0,2.221,False,0.0,True,False,False,1,Zona Lemah,1.2951379310344828,1.0,1.0,0.05257814464918468,0.052891060609105325,0.05083077817773524
1372.5144,ABAB,ABB-036,,-63.415,51.408,1.85,0.3126,2.221,GUF,,95.64137931034485,95.64137931034485,0.0156444444444444,0.5176000000000001,0.1731617296675311,0.2216867296675311,0.14472,0.1932449999999999,2.521415830887221,2.0,1.191073124079245,True,1.5532211772725006,0.6589268759207552,0.3126,False,0.0,2.221,False,0.0,True,False,False,1,Zona Lemah,1.2951379310344828,1.0,1.0,0.051390961717342386,0.05161732154870276,0.04980019371161527
1372.6668,ABAB,ABB-036,,-63.3293,51.408,1.804,0.3126,2.221,GUF,,95.64137931034485,95.64137931034485,0.0156444444444444,0.5176000000000001,0.1731617296675311,0.2216867296675311,0.14472,0.1932449999999999,2.521415830887221,2.0,1.191073124079245,True,1.5146005425943736,0.6129268759207551,0.3126,False,0.0,2.221,False,0.0,True,False,False,1,Zona Lemah,1.2951379310344828,1.0,1.0,0.0501687234537885,0.050311317796538066,0.04873268572052438
1372.8192,ABAB,ABB-036,,-63.2446,51.408,1.772,0.3126,2.221,GUF,,95.64137931034485,95.64137931034485,0.0156444444444444,0.5176000000000001,0.1731617296675311,0.2216867296675311,0.14472,0.1932449999999999,2.521415830887221,2.0,1.191073124079245,True,1.487734014122633,0.5809268759207551,0.3126,False,0.0,2.221,False,0.0,True,False,False,1,Zona Lemah,1.2951379310344828,1.0,1.0,0.04931339144919231,0.04940053932677318,0.047981727192709704
1372.9716,ABAB,ABB-036,,-63.1599,51.408,1.739,0.3126,2.221,GUF,,95.64137931034485,95.64137931034485,0.0156444444444444,0.5176000000000001,0.1731617296675311,0.2216867296675311,0.14472,0.1932449999999999,2.521415830887221,2.0,1.191073124079245,True,1.4600279066361506,0.5479268759207552,0.3126,False,0.0,2.221,False,0.0,True,False,False,1,Zona Lemah,1.2951379310344828,1.0,1.0,0.04842704208236083,0.04845944803229455,0.04720014946840334
