STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER
ABAB,ABB-094,1371.9048,,-41.6364,74.626,2.847,0.3955,2.301,GUF
ABAB,ABB-094,1372.0572,,-41.3067,74.626,2.794,0.3955,2.301,GUF
ABAB,ABB-094,1372.2096,,-41.39,74.626,2.74,0.3955,2.301,GUF
ABAB,ABB-094,1372.362,,-41.4724,74.626,2.687,0.3955,2.301,GUF
ABAB,ABB-094,1372.5144,,-41.5557,74.626,2.633,0.3955,2.301,GUF
ABAB,ABB-094,1372.6668,,-40.619,74.626,2.579,0.3955,2.301,GUF
ABAB,ABB-094,1372.8192,,-39.6824,74.626,2.557,0.3955,2.301,GUF
ABAB,ABB-094,1372.9716,,-38.7467,74.626,2.536,0.3955,2.301,GUF
ABAB,ABB-094,1373.124,,-38.378,74.626,2.514,0.3955,2.301,GUF
ABAB,ABB-094,1373.2764,,-38.0094,74.626,2.483,0.3955,2.301,GUF
ABAB,ABB-094,1373.4288,,-39.5037,74.626,2.452,0.3955,2.301,GUF
ABAB,ABB-094,1373.5812,,-40.907,74.626,2.42,0.3955,2.301,GUF
ABAB,ABB-094,1373.7336,,-40.3374,74.626,2.389,0.3955,2.301,GUF
ABAB,ABB-094,1373.886,,-38.8617,74.626,2.327,0.3955,2.301,GUF
ABAB,ABB-094,1374.0384,,-37.386,74.626,2.266,0.3955,2.301,GUF
ABAB,ABB-094,1374.1908,,-36.6594,74.626,2.234,0.3955,2.301,GUF
ABAB,ABB-094,1374.3432,,-35.9327,74.626,2.202,0.3955,2.301,GUF
ABAB,ABB-094,1374.4956,,-35.206,74.626,2.195,0.3955,2.301,GUF
ABAB,ABB-094,1374.648,,-35.1944,74.626,2.188,0.3955,2.301,GUF
ABAB,ABB-094,1374.8004,,-35.1827,74.626,2.18,0.3955,2.301,GUF
ABAB,ABB-094,1374.9528,,-34.966,74.626,2.173,0.3955,2.301,GUF
ABAB,ABB-094,1375.1052,,-34.7494,74.626,2.213,0.3955,2.301,GUF
ABAB,ABB-094,1375.2576,,-34.5327,74.626,2.253,0.3955,2.301,GUF
ABAB,ABB-094,1375.41,,-34.672,74.626,2.293,0.3955,2.301,GUF
ABAB,ABB-094,1375.5624,,-34.8114,74.626,2.334,0.3955,2.301,GUF
ABAB,ABB-094,1375.7148,,-34.9507,74.626,2.374,0.3955,2.301,GUF
ABAB,ABB-094,1375.8672,,-35.047,74.626,2.418,0.3955,2.301,GUF
ABAB,ABB-094,1376.0196,,-35.1424,74.626,2.463,0.3955,2.301,GUF
