STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,RGSA,GAS_EFFECT_RT,RT_RATIO,RT_DIFF,NGSA,GAS_EFFECT_NPHI,NPHI_DIFF,DGSA,GAS_EFFECT_RHOB,DENS_DIFF
ABAB,ABB-089,1371.6,10.3,-28.067,69.539,0.421,0.3643,2.188,GUF,0.7284789624285624,False,0.5779164831287561,-0.3074789624285624,0.3434729764049709,False,-0.020827023595029137,2.304256716055982,True,0.11625671605598198
ABAB,ABB-089,1371.7524,10.267,-28.083,68.88,0.401,0.3679,2.177,GUF,0.7278010252359371,False,0.5509747665854202,-0.3268010252359371,0.3431370262557425,False,-0.02476297374425751,2.302886557922572,True,0.12588655792257208
ABAB,ABB-089,1371.9048,10.235,-28.099,69.869,0.381,0.3715,2.189,GUF,0.7296543906085176,False,0.5221650207329711,-0.34865439060851755,0.3435612506825825,False,-0.02793874931741752,2.3050585412752023,True,0.11605854127520221
ABAB,ABB-089,1372.0572,9.908,-28.116,70.858,0.361,0.3679,2.195,GUF,0.7367148601118225,False,0.4900131917322877,-0.37571486011182254,0.3434841619365683,False,-0.024415838063431727,2.3079626140633556,True,0.11296261406335573
ABAB,ABB-089,1372.2096,9.821,-27.883,70.586,0.341,0.3643,2.19,GUF,0.7342267486078742,False,0.4644341828277856,-0.39322674860787415,0.34355818575883834,False,-0.02074181424116167,2.307085965376623,True,0.11708596537662297
ABAB,ABB-089,1372.362,9.734,-27.65,70.313,0.373,0.3588,2.158,GUF,0.7321521900707325,False,0.5094569203760284,-0.3591521900707325,0.34359161827031626,False,-0.015208381729683751,2.3062665532511044,True,0.1482665532511045
ABAB,ABB-089,1372.5144,9.901,-27.417,68.108,0.406,0.3584,2.171,GUF,0.7297135560786513,False,0.5563827019766093,-0.32371355607865127,0.3424894626339179,False,-0.01591053736608211,2.3016440459929086,True,0.1306440459929088
ABAB,ABB-089,1372.6668,9.963,-27.185,67.495,0.438,0.3612,2.193,GUF,0.7332192002125935,False,0.5973656989246926,-0.29521920021259346,0.34179490015592595,False,-0.01940509984407407,2.3009101688119067,True,0.10791016881190663
ABAB,ABB-089,1372.8192,10.026,-26.754,68.392,0.47,0.3664,2.195,GUF,0.7286794774154552,False,0.6450023838561194,-0.2586794774154553,0.3427581922450482,False,-0.023641807754951782,2.3020580229169685,True,0.10705802291696864
ABAB,ABB-089,1372.9716,9.906,-26.324,69.289,0.503,0.3716,2.186,GUF,0.7279639326831401,False,0.6909682985886887,-0.22496393268314008,0.3433700720474775,False,-0.028229927952522493,2.303701565003884,True,0.11770156500388396
