STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,RGSA,GAS_EFFECT_RT,RT_RATIO,RT_DIFF,NGSA,GAS_EFFECT_NPHI,NPHI_DIFF,DGSA,GAS_EFFECT_RHOB,DENS_DIFF
ABAB,ABB-051,1371.7524,,-20.2575,72.275,0.805,0.3475,2.361,GUF,1.3022842208823135,False,0.6181446316339475,-0.4972842208823135,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1371.9048,,-20.6529,72.275,0.804,0.3475,2.361,GUF,1.3022842208823135,False,0.6173767501039674,-0.4982842208823135,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1372.0572,,-20.4962,72.275,0.804,0.3475,2.361,GUF,1.3022842208823135,False,0.6173767501039674,-0.4982842208823135,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1372.2096,,-20.3405,72.275,0.794,0.3475,2.361,GUF,1.3022842208823135,False,0.6096979348041669,-0.5082842208823135,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1372.362,,-20.1839,72.275,0.784,0.3475,2.361,GUF,1.3022842208823135,False,0.6020191195043663,-0.5182842208823135,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1372.5144,,-19.9942,72.275,0.774,0.3475,2.361,GUF,1.3022842208823135,False,0.5943403042045656,-0.5282842208823135,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1372.6668,,-19.8056,72.275,0.766,0.3475,2.361,GUF,1.3022842208823135,False,0.5881972519647252,-0.5362842208823135,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1372.8192,,-19.6159,72.275,0.759,0.3475,2.361,GUF,1.3022842208823135,False,0.5828220812548648,-0.5432842208823135,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1372.9716,,-19.4272,72.275,0.752,0.3475,2.361,GUF,1.3022842208823135,False,0.5774469105450043,-0.5502842208823135,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1373.124,,-19.2376,72.275,0.744,0.3475,2.361,GUF,1.3022842208823135,False,0.5713038583051638,-0.5582842208823136,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1373.2764,,-19.3569,72.275,0.751,0.3475,2.361,GUF,1.3022842208823135,False,0.5766790290150243,-0.5512842208823135,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1373.4288,,-19.4763,72.275,0.757,0.3475,2.361,GUF,1.3022842208823135,False,0.5812863181949046,-0.5452842208823135,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1373.5812,,-19.5956,72.275,0.763,0.3475,2.361,GUF,1.3022842208823135,False,0.585893607374785,-0.5392842208823135,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1373.7336,,-19.715,72.275,0.771,0.3475,2.361,GUF,1.3022842208823135,False,0.5920366596146255,-0.5312842208823135,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1373.886,,-19.8343,72.275,0.779,0.3475,2.361,GUF,1.3022842208823135,False,0.598179711854466,-0.5232842208823135,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1374.0384,,-19.9536,72.275,0.787,0.3475,2.361,GUF,1.3022842208823135,False,0.6043227640943064,-0.5152842208823135,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1374.1908,,-19.898,72.275,0.796,0.3475,2.361,GUF,1.3022842208823135,False,0.611233697864127,-0.5062842208823135,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1374.3432,,-19.8423,72.275,0.804,0.3475,2.361,GUF,1.3022842208823135,False,0.6173767501039674,-0.4982842208823135,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1374.4956,,-19.7857,72.275,0.812,0.3475,2.361,GUF,1.3022842208823135,False,0.6235198023438079,-0.4902842208823135,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1374.648,,-19.73,72.275,0.82,0.3475,2.361,GUF,1.3022842208823135,False,0.6296628545836483,-0.4822842208823136,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1374.8004,,-19.6743,72.275,0.857,0.3475,2.361,GUF,1.3022842208823135,False,0.6580744711929105,-0.44528422088231356,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1374.9528,,-19.6187,72.275,0.893,0.3475,2.361,GUF,1.3022842208823135,False,0.6857182062721927,-0.40928422088231353,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1375.1052,,-19.562,72.275,0.929,0.3475,2.361,GUF,1.3022842208823135,False,0.7133619413514748,-0.3732842208823135,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1375.2576,,-19.5064,72.275,0.966,0.3475,2.361,GUF,1.3022842208823135,False,0.741773557960737,-0.3362842208823136,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1375.41,,-19.2197,72.275,1.002,0.3475,2.361,GUF,1.3022842208823135,False,0.769417293040019,-0.30028422088231355,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1375.5624,,-18.933,72.275,1.039,0.3475,2.361,GUF,1.3022842208823135,False,0.7978289096492812,-0.2632842208823136,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1375.7148,,-18.6464,72.275,1.075,0.3475,2.361,GUF,1.3022842208823135,False,0.8254726447285634,-0.2272842208823136,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1375.8672,,-18.3597,72.275,1.138,0.3475,2.361,GUF,1.3022842208823135,False,0.873849181117307,-0.16428422088231365,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1376.0196,,-18.0731,72.275,1.202,0.3475,2.361,GUF,1.3022842208823135,False,0.9229935990360308,-0.10028422088231359,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1376.172,,-17.7864,72.275,1.265,0.3475,2.361,GUF,1.3022842208823135,False,0.9713701354247746,-0.037284220882313646,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1376.3244,,-17.4997,72.275,1.328,0.3475,2.361,GUF,1.3022842208823135,True,1.0197466718135184,0.02571577911768652,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1376.4768,,-18.0751,72.275,1.391,0.3475,2.361,GUF,1.3022842208823135,True,1.068123208202262,0.08871577911768647,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1376.6292,,-18.6514,72.275,1.447,0.3475,2.361,GUF,1.3022842208823135,True,1.1111245738811455,0.14471577911768652,0.3475,False,0.0,2.361,False,0.0
ABAB,ABB-051,1376.7816,,-19.2268,72.275,1.504,0.3475,2.361,GUF,1.3022842208823135,True,1.1548938210900086,0.20171577911768646,0.3475,False,0.0,2.361,False,0.0
