DEPTH,STRUKTUR,WELL_NAME,CALI,SP,GR,RT,NPHI,RHOB,MARKER
1382.268,ABAB,ABB-122,,-53.5648,69.541,1.122,0.3972,2.19,GUF
1382.4204,ABAB,ABB-122,,-53.2815,69.541,1.133,0.3972,2.19,GUF
1382.5728,ABAB,ABB-122,,-52.9982,69.541,1.145,0.3972,2.19,GUF
1382.7252,ABAB,ABB-122,,-52.714,69.541,1.156,0.3972,2.19,GUF
1382.8776,ABAB,ABB-122,,-52.6947,69.541,1.168,0.3972,2.19,GUF
1383.03,ABAB,ABB-122,,-52.6745,69.541,1.2,0.3972,2.19,GUF
1383.1824,ABAB,ABB-122,,-52.6542,69.541,1.233,0.3972,2.19,GUF
1383.3348,ABAB,ABB-122,,-52.674,69.541,1.3,0.3972,2.19,GUF
1383.4872,ABAB,ABB-122,,-52.6937,69.541,1.356,0.3972,2.19,GUF
1383.6396,ABAB,ABB-122,,-52.7125,69.541,1.414,0.3972,2.19,GUF
1383.792,ABAB,ABB-122,,-52.7322,69.541,1.443,0.3972,2.19,GUF
1383.9444,ABAB,ABB-122,,-52.9929,69.541,1.472,0.3972,2.19,GUF
1384.0968,ABAB,ABB-122,,-53.2537,69.541,1.502,0.3972,2.19,GUF
1384.2492,ABAB,ABB-122,,-54.5924,69.541,1.501,0.3972,2.19,GUF
1384.4016,ABAB,ABB-122,,-55.9322,69.541,1.473,0.3972,2.19,GUF
1384.554,ABAB,ABB-122,,-56.5829,69.541,1.446,0.3972,2.19,GUF
1384.7064,ABAB,ABB-122,,-57.2337,69.541,1.383,0.3972,2.19,GUF
1384.8588,ABAB,ABB-122,,-57.0134,69.541,1.323,0.3972,2.19,GUF
1385.0112,ABAB,ABB-122,,-56.7932,69.541,1.276,0.3972,2.19,GUF
1385.1636,ABAB,ABB-122,,-56.2909,69.541,1.23,0.3972,2.19,GUF
1385.316,ABAB,ABB-122,,-55.7896,69.541,1.186,0.3972,2.19,GUF
1385.4684,ABAB,ABB-122,,-55.2884,69.541,1.157,0.3972,2.19,GUF
