STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_NORM,RGSA,GAS_EFFECT_RT,RT_RATIO,RT_DIFF,NGSA,GAS_EFFECT_NPHI,NPHI_DIFF,DGSA,GAS_EFFECT_RHOB,DENS_DIFF
ABAB,ABB-092,1371.6,,-2.5898,47.308,0.43,0.359,2.124,GUF,40.0,1.0989256154253026,False,0.3912912702772724,-0.6689256154253027,0.359,False,0.0,2.124,False,0.0
ABAB,ABB-092,1371.7524,,-2.5587,47.308,0.506,0.359,2.124,GUF,40.0,1.0989256154253026,False,0.4604497273495345,-0.5929256154253026,0.359,False,0.0,2.124,False,0.0
ABAB,ABB-092,1371.9048,,-2.6885,47.308,0.661,0.359,2.124,GUF,40.0,1.0989256154253026,False,0.6014965805890164,-0.4379256154253026,0.359,False,0.0,2.124,False,0.0
ABAB,ABB-092,1372.0572,,-2.8184,47.308,0.816,0.359,2.124,GUF,40.0,1.0989256154253026,False,0.7425434338284983,-0.2829256154253027,0.359,False,0.0,2.124,False,0.0
ABAB,ABB-092,1372.2096,,-3.9153,47.308,1.046,0.359,2.124,GUF,40.0,1.0989256154253026,False,0.9518387644419232,-0.05292561542530261,0.359,False,0.0,2.124,False,0.0
ABAB,ABB-092,1372.362,,-5.4061,47.308,1.147,0.359,2.124,GUF,40.0,1.0989256154253026,True,1.0437467139721661,0.04807438457469737,0.359,False,0.0,2.124,False,0.0
ABAB,ABB-092,1372.5144,,-7.128,47.308,1.181,0.359,2.124,GUF,40.0,1.0989256154253026,True,1.0746860237150202,0.0820743845746974,0.359,False,0.0,2.124,False,0.0
ABAB,ABB-092,1372.6668,,-8.8509,47.308,1.215,0.359,2.124,GUF,40.0,1.0989256154253026,True,1.1056253334578745,0.11607438457469743,0.359,False,0.0,2.124,False,0.0
ABAB,ABB-092,1372.8192,,-11.1967,47.308,1.218,0.359,2.124,GUF,40.0,1.0989256154253026,True,1.108355272552832,0.11907438457469732,0.359,False,0.0,2.124,False,0.0
ABAB,ABB-092,1372.9716,,-12.9676,47.308,1.214,0.359,2.124,GUF,40.0,1.0989256154253026,True,1.104715353759555,0.11507438457469732,0.359,False,0.0,2.124,False,0.0
