STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_NORM,RGSA,GAS_EFFECT_RT,RT_RATIO,RT_DIFF,NGSA,GAS_EFFECT_NPHI,NPHI_DIFF,DGSA,GAS_EFFECT_RHOB,DENS_DIFF,RGSA_ANOM,NGSA_ANOM,DGSA_ANOM,SCORE,ZONA
ABAB,ABB-103,1374.648,,-23.336,77.117,1.028,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,True,1.0068009178273734,0.006944117156375551,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1374.8004,,-23.635,77.117,1.023,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,True,1.0019040262036991,0.0019441171563754356,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1374.9528,,-23.933,77.117,1.018,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,False,0.9970071345800252,-0.003055882843624458,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1375.1052,,-24.232,77.117,1.014,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,False,0.993089621281086,-0.007055882843624461,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1375.2576,,-23.944,77.117,0.99,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,False,0.9695845414874509,-0.031055882843624483,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1375.41,,-23.655,77.117,0.967,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,False,0.9470588400185505,-0.0540558828436245,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1375.5624,,-23.367,77.117,0.944,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,False,0.9245331385496501,-0.07705588284362452,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1375.7148,,-23.174,77.117,0.896,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,False,0.8775229789623799,-0.12505588284362446,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1375.8672,,-22.982,77.117,0.847,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,False,0.8295334410503746,-0.1740558828436245,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1376.0196,,-22.79,77.117,0.799,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,False,0.7825232814631043,-0.22205588284362443,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
